ITERATIONS,DeltaOmega,RewardMean,Wins,RewardStd,NormDeltaVar,NormDeltaOmega,TimestepsMean,Omega,TimestepsStd,ConfortViolation,Traj,ReturnsStd,OmegaBefore,ReturnsMean
26,-0.024285465782716287,7.416200923023639,86.4,0.21882761344603763,0.24087925948520614,0.024285465782716287,192.984,7.0959702722117575,24.037631830111717,0,250,182.21020229651867,7.120255737994474,1431.2081189287935
27,-0.039882122324912395,7.4420521948633205,93.2,0.16440716145584797,0.23517779032576064,0.039882122324912395,198.352,7.056088149886845,11.65864897833364,0,250,89.68713720060298,7.0959702722117575,1476.1459369555294
28,-0.04033420729580062,7.475440867821419,98.0,0.11355415216251606,0.22171023341144225,0.04033420729580062,200.276,7.0157539425910445,6.301731825458775,0,250,48.69845741887462,7.056088149886845,1497.1513952438027
29,-0.00681213551910087,7.504147785084745,90.8,0.18156236545163357,0.20091848428820686,0.00681213551910087,198.28,7.008941807071944,12.109896779081149,0,250,93.23034765540604,7.0157539425910445,1487.9224228266035
30,-0.01604891338034342,7.504350022834416,80.80000000000001,0.24881770648278992,0.1793595149217194,0.01604891338034342,196.608,6.9928928936916,11.898165236707715,0,250,92.69593970199297,7.008941807071944,1475.4152492894289
31,-0.03654245748757923,7.518109726586984,75.6,0.27842900269186727,0.16137138284036942,0.03654245748757923,193.892,6.956350436204021,16.177772899877166,0,250,125.18385686088912,6.9928928936916,1457.7013311074036
32,-0.04861290248636241,7.544103717514207,82.39999999999999,0.2393095295786523,0.15904199254357576,0.04861290248636241,197.276,6.9077375337176585,10.146912042587145,0,250,79.59693448151006,6.956350436204021,1488.2706049763328
33,-0.035157209971480086,7.582792331417927,91.60000000000001,0.17529431808247017,0.14717595429540953,0.035157209971480086,198.084,6.872580323746178,13.32114649720511,0,250,103.47298914163058,6.9077375337176585,1502.0298361765886
34,-0.025216920580835023,7.610982958198059,99.2,0.09235000187343671,0.14344567358383495,0.025216920580835023,200.416,6.847363403165343,8.2084678229253,0,250,63.39919301021579,6.872580323746178,1525.362760550222
35,-0.029219386184787588,7.627355545426652,98.4,0.10468990246108206,0.11815114714332975,0.029219386184787588,200.688,6.818144016980556,2.796901142335925,0,250,23.94301948332105,6.847363403165343,1530.718729700584
36,-0.0431182617445538,7.648676076662501,99.2,0.09253998685197126,0.10168144659382149,0.0431182617445538,200.8,6.775025755236002,2.4347484469653122,0,250,20.17434753388519,6.818144016980556,1535.8541561938302
37,-0.016066870408313783,7.67650085303457,99.2,0.09200392809689784,0.09464629977763837,0.016066870408313783,200.644,6.758958884827688,5.430770111135253,0,250,42.61459146971054,6.775025755236002,1540.2438371562682
38,-0.004185160285881118,7.6887279213790585,99.2,0.09293807427894275,0.09188146206564828,0.004185160285881118,200.108,6.754773724541807,10.152848664291222,0,250,79.31857130637826,6.758958884827688,1538.5759668913204
39,-0.033857276801527725,7.691717602225145,99.2,0.09217670814033836,0.08595194959143145,0.033857276801527725,200.288,6.720916447740279,9.938463462729034,0,250,77.18843886680412,6.754773724541807,1540.5587351144698
40,-0.05372169321976106,7.714062742114332,99.2,0.09254799539032492,0.08608731534547778,0.05372169321976106,200.932,6.667194754520518,1.0116204821967574,0,250,10.102452196779247,6.720916447740279,1550.002054898517
41,-0.04332393615716601,7.748496565387356,98.0,0.1105907093894081,0.08342078720444239,0.04332393615716601,200.004,6.623870818363352,7.6589806110212875,0,250,61.342463652417905,6.667194754520518,1549.7303070637333
42,-0.057970906529708266,7.778022658891728,99.2,0.09106678638508706,0.07049391504163098,0.057970906529708266,200.304,6.565899911833644,8.091698462004128,0,250,64.28130184811688,6.623870818363352,1557.9690506666489
43,-0.06409679674494662,7.816898736158929,99.6,0.08427361320745257,0.0717986081522979,0.06409679674494662,200.912,6.5018031150886975,1.388616577749236,0,250,12.330915703237261,6.565899911833644,1570.5087588791628
44,-0.059890696593638104,7.857035131357744,98.4,0.10445518618598439,0.06411809980532991,0.059890696593638104,199.584,6.441912418495059,12.66502838528205,0,250,101.15772433283408,6.5018031150886975,1568.138499656904
45,-0.07540368839220069,7.899199380474376,99.6,0.08261661177514812,0.0632304689524984,0.07540368839220069,200.992,6.366508730102859,0.126237870704476,0,250,4.260874562811949,6.441912418495059,1587.675881880306
46,-0.05107671264274316,7.94496033784034,99.2,0.09056474366145731,0.06159460321683023,0.05107671264274316,200.232,6.3154320174601155,8.619174902506622,0,250,70.28907228885564,6.366508730102859,1590.835298366447
47,-0.05858685521705009,7.9774076280505435,99.6,0.08283577016765678,0.06461574007967638,0.05858685521705009,200.904,6.256845162243065,1.5148544484537125,0,250,13.870052762558293,6.3154320174601155,1602.693102105867
48,-0.07752442044077235,8.014460843355684,98.8,0.09688004959022019,0.04588389967676244,0.07752442044077235,200.176,6.179320741802293,8.838157274002311,0,250,72.30670790566307,6.256845162243065,1604.3027137795677
49,-0.0571654524435683,8.060818849119583,99.6,0.08276551504919058,0.04086419980063877,0.0571654524435683,200.688,6.122155289358725,4.923276957474564,0,250,40.910386219304534,6.179320741802293,1617.7096131921112
