ReturnsMean,WeightMean,WeightMax,Eta,DualReg,OmegaBefore,Traj,Wins,ReturnsStd,TimestepsMean,NormDeltaOmega,WeightMin,ITERATIONS,DualBefore,DualAfter,ConfortViolation,LossReg,TimestepsStd,Omega,Epsilon,WeightMedian,RewardStd,DeltaOmega,NormDeltaVar,Primal,RewardMean
1939.6391060412495,5.438602046731236e-05,1.0,0.9998589556258828,0.0001,2.26402077327627,251,96.01593625498009,104.86594984484935,199.464,0.0054527211876180814,5.438602046731236e-05,1478,9.727909099926704,9.727909080051116,0,0.0,10.561472624591707,2.258568052088652,0.001,0.9170090158469049,0.1424304700193273,-0.0054527211876180814,0.010323381123365205,9.727568216793928,9.724288081088774
1937.5293900745742,2.1499999238960444e-05,1.0,0.9142556539923639,0.0001,2.258568052088652,252,95.63492063492063,126.13390041855538,199.19123505976097,0.005660154007240958,2.1499999238960444e-05,1479,9.73072908257011,9.73072024913324,0,0.0,12.723980671629374,2.252907898081411,0.001,0.9036017186727866,0.14823809832128643,-0.005660154007240958,0.13510227285858686,9.730441923142761,9.727014017282139
1950.3811586252896,1.4769311665971377e-05,1.0,0.8834300697954095,0.0001,2.252907898081411,250,97.2,55.40254470093156,200.46184738955824,0.0066204605334871935,1.4769311665971377e-05,1480,9.732452934415218,9.732435068594972,0,0.0,5.549299876315236,2.246287437547924,0.001,0.901882122635367,0.12018324225580948,-0.0066204605334871935,0.08787777225240302,9.732120882620828,9.729438895568881
1947.3198706243036,5.44054192896323e-05,1.0,0.9998768414755335,0.0001,2.246287437547924,250,94.8,55.855754383727415,200.15261044176708,0.005938687817439892,5.44054192896323e-05,1481,9.73333563527299,9.733335620118273,0,0.0,5.494137365813593,2.240348749730484,0.001,0.921770722293892,0.16096081553021213,-0.005938687817439892,0.191312041440384,9.73301260949621,9.729231522188165
1941.9526903586625,5.382776701348471e-05,1.0,1.0000483970201814,0.0001,2.240348749730484,251,93.22709163346613,76.21331964582107,199.612,0.00497106709967321,5.382776701348471e-05,1482,9.733533796359476,9.733533794019866,0,0.0,7.424651911032597,2.2353776826308107,0.001,0.9113145606976022,0.18343323739656098,-0.00497106709967321,0.020810999125100798,9.733382124641237,9.728636182914984
1946.4162355789808,2.0443959782625864e-05,1.0,0.9105476727455435,0.0001,2.2353776826308107,250,95.19999999999999,71.87781415731536,200.00803212851406,0.006185227658999537,2.0443959782625864e-05,1483,9.735591823594238,9.735582335603198,0,0.0,7.164163362858974,2.229192454971811,0.001,0.9021868642536247,0.154622295317376,-0.006185227658999537,0.04297056581404287,9.735300074401145,9.731722004876131
1941.194716333452,2.4289979331790224e-05,1.0,0.9255097560257712,0.0001,2.229192454971811,251,95.2191235059761,116.49402346090649,199.448,0.005701320949069721,2.4289979331790224e-05,1484,9.73674307263212,9.7367365697386,0,0.0,11.745266961631826,2.2234911340227415,0.001,0.9029584186795685,0.1548012515261383,-0.005701320949069721,0.2126088174332891,9.736470034407114,9.732839527545382
1943.4399796950138,5.314377287817863e-05,1.0,0.999900205745334,0.0001,2.2234911340227415,251,94.42231075697211,81.21376324408511,199.66,0.0056176424944460734,5.314377287817863e-05,1485,9.738066352304363,9.738066342354468,0,0.0,8.096937692732975,2.2178734915282954,0.001,0.9044772827656399,0.16672961436660383,-0.0056176424944460734,0.10981626073762914,9.737766668467502,9.733784938460682
1946.649824665387,1.3603975692559763e-05,1.0,0.8772160749598883,0.0001,2.2178734915282954,251,97.21115537848605,84.18643687347625,199.92,0.006601916035999356,1.3603975692559763e-05,1486,9.740163107629009,9.740143170380971,0,0.0,8.395332036316372,2.211271575492296,0.001,0.9058609632250337,0.12007657017220964,-0.006601916035999356,0.1376934521338248,9.739821144713956,9.73716429126698
1947.676373251202,1.3076656389734709e-05,1.0,0.8742919126094577,0.0001,2.211271575492296,250,96.39999999999999,85.51762517993463,200.0,0.005780938582165884,1.3076656389734709e-05,1487,9.741698983491675,9.741678626461697,0,0.0,8.592048252465228,2.20549063691013,0.001,0.9051567419586415,0.13478912038577587,-0.005780938582165884,0.044360830911916976,9.741353169195543,9.738389152819437
