ITERATIONS,Theta,Epsilon,OmegaBefore,WeightMedian,LossReg,ReturnsStd,NormDeltaVar,TimestepsMean,WeightMean,DualReg,Omega,ConfortViolation,NormDeltaOmega,ThetaBefore,DualBefore,TimestepsStd,Eta,ReturnsMean,DeltaOmega,Primal,DualAfter,Wins,Traj,RewardMean,WeightMin,WeightMax,RewardStd
47,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
48,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
49,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
50,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
51,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
52,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
53,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
54,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
55,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
56,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
57,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
58,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
59,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
60,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
61,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
62,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
63,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
64,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
65,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
66,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
67,0.9999999897391637,0.01,5.323315896228526e-09,1.0,0.0,0.0,0.0,500.0,1.7154523370568488e-140,0.0,5.323315896228526e-09,0,0.0,0.9999999897391637,10.007998088311146,0.0,0.03107305485617784,4990.0,[[0.]],9.999999999999508,10.000248522209754,0.0,20,9.98,1.7154523370568488e-140,1.0,0.44676615807377346
