NormDeltaOmega,DualBefore,ReturnsStd,Theta,Epsilon,LossReg,OmegaBefore,NormDeltaVar,ConfortViolation,ITERATIONS,RewardMean,Wins,DualReg,RewardStd,Eta,WeightMedian,DeltaOmega,TimestepsMean,WeightMax,TimestepsStd,WeightMin,ThetaBefore,Omega,ReturnsMean,WeightMean,Primal,DualAfter,Traj
5.926158647421203e-16,9.389914095151369,143.4256010867356,0.7675707188124425,0.01,0.0,2.8510152456537928e-08,2.4795165289480074,0,24,5.9106,0.0,0.0,4.462063159570918,31.0696096606593,1.0,[[-5.92615865e-16]],500.0,1.0,0.0,0.724801161377879,0.7351826148515002,2.8510151863922063e-08,2956.2105263157896,0.724801161377879,6.537328247610496,6.537328241422072,20
6.825977397546636e-16,9.468865832697599,171.72296184048508,0.7962990909261656,0.01,0.0,2.8510151863922063e-08,2.4096780920387317,0,25,6.2938,0.0,0.0,4.419918727759596,30.512014098833628,1.0,[[-6.8259774e-16]],500.0,1.0,0.0,0.7205505155733223,0.7675707188124425,2.8510151181324324e-08,3154.5263157894738,0.7205505155733223,6.911983745370869,6.911983624403868,20
1.1067802625197639e-15,9.566168753166933,124.42069641056851,0.8337430338153098,0.01,0.0,2.8510151181324324e-08,3.5581227117086804,0,26,6.8108,0.0,0.0,4.307505468365653,29.36358730621598,1.0,[[-1.10678026e-15]],500.0,1.0,0.0,0.7113733763252517,0.7962990909261656,2.851015007454406e-08,3391.2631578947367,0.7113733763252517,7.409570861792151,7.409569892719635,20
1.5203899546011135e-15,9.655266648651372,81.81676710492407,0.8681479535128642,0.01,0.0,2.851015007454406e-08,3.889872257907218,0,27,7.3362,0.0,0.0,4.117835543097854,27.663433510268142,1.0,[[-1.52038995e-15]],500.0,1.0,0.0,0.6966389368753075,0.8337430338153098,2.8510148554154106e-08,3655.2631578947367,0.6966389368753075,7.904581596879303,7.904581283630426,20
1.8410113671899836e-15,9.724382198419443,81.61242097633013,0.8950252703904314,0.01,0.0,2.8510148554154106e-08,3.6921511808448386,0,28,7.7806,0.0,0.0,3.8914603479927683,25.758152284858483,1.0,[[-1.84101137e-15]],500.0,1.0,0.0,0.6782586293843231,0.8681479535128642,2.851014671314274e-08,3893.7894736842104,0.6782586293843231,8.313950943239847,8.313950659027656,20
2.9123711305316838e-15,9.7891529108117,123.59266488916094,0.9209103562161355,0.01,0.0,2.851014671314274e-08,4.452120795565307,0,29,8.2268,0.0,0.0,3.594073143384814,23.34465815488814,1.0,[[-2.91237113e-15]],500.0,1.0,0.0,0.6515745097125856,0.8950252703904314,2.851014380077161e-08,4123.894736842105,0.6515745097125856,8.715031452881274,8.715031451334447,20
4.2357025757232286e-15,9.840077684755782,95.62171544881404,0.9421817699712486,0.01,0.0,2.851014380077161e-08,4.801619078718716,0,30,8.5974,0.0,0.0,3.282607689017986,20.873543061092224,1.0,[[-4.23570258e-15]],500.0,1.0,0.0,0.6193558129230387,0.9209103562161355,2.8510139565069033e-08,4301.473684210527,0.6193558129230387,9.038956162545814,9.03895616104574,20
6.394904102936944e-15,9.882420090370067,75.04192733882681,0.9589144569432472,0.01,0.0,2.8510139565069033e-08,5.132163830215191,0,31,8.9236,0.0,0.0,2.938122366410221,18.19735755228917,1.0,[[-6.3949041e-15]],500.0,1.0,0.0,0.5772208468971053,0.9421817699712486,2.851013317016493e-08,4457.1578947368425,0.5772208468971053,9.314119966245194,9.314119748872699,20
2.0730060304269753e-14,9.932161931764862,61.604762919797295,0.9781896877810642,0.01,0.0,2.851013317016493e-08,9.331073557755232,0,32,9.3256,0.0,0.0,2.385871882562012,13.967913213095656,1.0,[[-2.07300603e-14]],500.0,1.0,0.0,0.4887390578728757,0.9589144569432472,2.8510112440104626e-08,4670.105263157895,0.4887390578728757,9.634990157307,9.634990103320789,20
3.717050358832143e-14,9.959242571275299,74.39938640916968,0.9882222935344461,0.01,0.0,2.8510112440104626e-08,8.94826419214322,0,33,9.553,0.0,0.0,1.9713424360064895,10.808138549597054,1.0,[[-3.71705036e-14]],500.0,1.0,0.0,0.39644074196275114,0.9781896877810642,2.8510075269601037e-08,4782.315789473684,0.39644074196275114,9.801779804970469,9.801779484922866,20
1.5850820215344928e-13,9.983352829608066,34.77987764781061,0.9961221569263621,0.01,0.0,2.8510075269601037e-08,15.984165763222848,0,34,9.7614,0.0,0.0,1.460777204093766,6.863720928769136,1.0,[[-1.58508202e-13]],500.0,1.0,0.0,0.2329490097019483,0.9882222935344461,2.8509916761398884e-08,4877.789473684211,0.2329490097019483,9.935487822059077,9.93548789273185,20
