TimestepsMean,ReturnsStd,NormDeltaVar,Omega,ITERATIONS,DeltaOmega,ReturnsMean,RewardMean,RewardStd,ConfortViolation,TimestepsStd,OmegaBefore,Wins,NormDeltaOmega,Theta,Traj
500.0,75.82412215119935,0.7321635844135415,0.026180343243633684,67,[[-0.00136061]],4646.45,9.2929,2.438157006839387,0,0.0,0.027540949635940365,0.0,0.0013606063923066805,0.9892322320283543,40
500.0,68.78500926800838,0.7202681877609649,0.024908608052470173,68,[[-0.00127174]],4676.35,9.3527,2.342050962297789,0,0.0,0.026180343243633684,0.0,0.0012717351911635116,0.9897562472655077,40
500.0,70.45975801831851,0.7083955448853061,0.023712551500089406,69,[[-0.00119606]],4679.65,9.3593,2.3304298981089304,0,0.0,0.024908608052470173,0.0,0.001196056552380767,0.9902469891701257,40
500.0,77.18353127448886,0.704142994373953,0.02258073722762627,70,[[-0.00113181]],4703.55,9.4071,2.248526092799459,0,0.0,0.023712551500089406,0.0,0.0011318142724631372,0.990711703083599,40
500.0,62.2982945191921,0.6857336917092169,0.02151925257128357,71,[[-0.00106148]],4701.35,9.4027,2.2564203309667286,0,0.0,0.02258073722762627,0.0,0.001061484656342697,0.9911431668599952,40
500.0,57.393727880318075,0.6716225034294325,0.020530101354660643,72,[[-0.00098915]],4732.6,9.4652,2.1437324833103593,0,0.0,0.02151925257128357,0.0,0.0009891512166229285,0.9915464833212458,40
500.0,50.903732672565376,0.6543353746382508,0.019613975398042188,73,[[-0.00091613]],4734.9,9.4698,2.134686852913092,0,0.0,0.020530101354660643,0.0,0.0009161259566184549,0.9919218927654329,40
500.0,71.71608954760431,0.6501841784665601,0.018741134367399135,74,[[-0.00087284]],4751.05,9.5021,2.072461239685799,0,0.0,0.019613975398042188,0.0,0.0008728410306430533,0.9922785344740266,40
500.0,58.91432338574381,0.644864313790876,0.017924812089524806,75,[[-0.00081632]],4759.95,9.5199,2.0374749053669343,0,0.0,0.018741134367399135,0.0,0.000816322277874329,0.9926168192764762,40
500.0,53.63124089558249,0.6284365153764355,0.017158444052731377,76,[[-0.00076637]],4769.7,9.5394,1.999261773755503,0,0.0,0.017924812089524806,0.0,0.0007663680367934293,0.9929323235087034,40
500.0,72.6849193436988,0.6278160987156269,0.01641963958218978,77,[[-0.0007388]],4784.05,9.5681,1.939603668278651,0,0.0,0.017158444052731377,0.0,0.0007388044705415979,0.993234145404423,40
500.0,61.589853060386496,0.6289419849795195,0.015722804483310922,78,[[-0.00069684]],4790.3,9.5806,1.9115709874341575,0,0.0,0.01641963958218978,0.0,0.0006968350988788563,0.9935236693361712,40
500.0,54.985429888289495,0.6149974145228612,0.01506847290198002,79,[[-0.00065433]],4777.05,9.5541,1.968799936509548,0,0.0,0.015722804483310922,0.0,0.0006543315813309029,0.9937948648363849,40
500.0,52.54245902125252,0.6037171631516003,0.014456372093125027,80,[[-0.0006121]],4784.7,9.5694,1.9359193268315704,0,0.0,0.01506847290198002,0.0,0.0006121008088549925,0.9940501036482536,40
500.0,65.40298158341102,0.6069038084074663,0.013871984486116156,81,[[-0.00058439]],4804.5,9.609,1.849626719097667,0,0.0,0.014456372093125027,0.0,0.0005843876070088707,0.994296169078568,40
500.0,49.064625750126744,0.6009912256942727,0.013327036212813006,82,[[-0.00054495]],4811.25,9.6225,1.8195861480017919,0,0.0,0.013871984486116156,0.0,0.0005449482733031509,0.994529863000832,40
500.0,51.53018532860133,0.5778895984678201,0.01280589006144659,83,[[-0.00052115]],4831.2,9.6624,1.7243045670646469,0,0.0,0.013327036212813006,0.0,0.000521146151366416,0.9947455870949332,40
500.0,48.64768750927427,0.5780427691122583,0.012318701218544422,84,[[-0.00048719]],4824.95,9.6499,1.754773486806773,0,0.0,0.01280589006144659,0.0,0.0004871888429021677,0.9949529007613556,40
500.0,58.79719381058929,0.5683368638482307,0.011846607139825672,85,[[-0.00047209]],4825.3,9.6506,1.7531456414114601,0,0.0,0.012318701218544422,0.0,0.00047209407871874956,0.9951487958184505,40
500.0,47.224040487870155,0.5593269547283484,0.011403183079959826,86,[[-0.00044342]],4844.7,9.6894,1.6567219561531743,0,0.0,0.011846607139825672,0.0,0.0004434240598658462,0.9953341951080296,40
500.0,52.11823097535065,0.5522939702965175,0.010979717483804488,87,[[-0.00042347]],4843.7,9.6874,1.6628533429018932,0,0.0,0.011403183079959826,0.0,0.00042346559615533824,0.9955103410733251,40
500.0,49.53746057278269,0.5449030483001991,0.010576068783544338,88,[[-0.00040365]],4848.2,9.6964,1.6397033390220317,0,0.0,0.010979717483804488,0.0,0.0004036487002601497,0.9956776399460653,40
500.0,34.8496413180968,0.5275484578477574,0.010199463392379926,89,[[-0.00037661]],4856.05,9.7121,1.598534826020378,0,0.0,0.010576068783544338,0.0,0.00037660539116441197,0.9958336935969515,40
500.0,48.00166663773249,0.5183673330028853,0.009838498566900849,90,[[-0.00036096]],4861.2,9.7224,1.5709036380376744,0,0.0,0.010199463392379926,0.0,0.00036096482547907753,0.9959815644756687,40
500.0,49.13590845807168,0.5103451744828789,0.009490818660752947,91,[[-0.00034768]],4856.75,9.7135,1.5946528619107043,0,0.0,0.009838498566900849,0.0,0.00034767990614790155,0.9961220389114526,40
500.0,46.5396336470325,0.5064571094608681,0.009158366367223102,92,[[-0.00033245]],4876.75,9.7535,1.483319840762605,0,0.0,0.009490818660752947,0.0,0.00033245229352984497,0.9962566062964389,40
500.0,44.98819289546981,0.5051882769382559,0.008841578740152,93,[[-0.00031679]],4866.75,9.7335,1.540252495534417,0,0.0,0.009158366367223102,0.0,0.0003167876270711023,0.996386201260777,40
500.0,35.95483277669359,0.49035235166903135,0.008543553217319689,94,[[-0.00029803]],4880.5,9.761,1.461806758774907,0,0.0,0.008841578740152,0.0,0.0002980255228323108,0.9965077131414399,40
500.0,39.65346769199385,0.4836870636723489,0.008261315252504984,95,[[-0.00028224]],4884.95,9.7699,1.4355674801276324,0,0.0,0.008543553217319689,0.0,0.000282237964814705,0.9966235834421462,40
500.0,38.55009727614186,0.4692066127345811,0.007992944830633198,96,[[-0.00026837]],4882.3,9.7646,1.4511329504907537,0,0.0,0.008261315252504984,0.0,0.0002683704218717862,0.9967323221488916,40
500.0,40.33407368466518,0.46222165938522153,0.007736788062100275,97,[[-0.00025616]],4884.25,9.7685,1.4393775564458409,0,0.0,0.007992944830633198,0.0,0.00025615676853292264,0.9968360282544368,40
500.0,38.329329501049195,0.44474366894610284,0.007489902636996768,98,[[-0.00024689]],4903.25,9.8065,1.3196809273456973,0,0.0,0.007736788062100275,0.0,0.0002468854251035067,0.9969327142462464,40
500.0,30.528634099808656,0.43097713886567135,0.007256568486897177,99,[[-0.00023333]],4898.55,9.7971,1.3501968708303245,0,0.0,0.007489902636996768,0.0,0.00023333415009959158,0.9970235961534597,40
