Traj,Omega,NormDeltaVar,ReturnsStd,NormDeltaOmega,RewardMean,DeltaOmega,RewardStd,Theta,OmegaBefore,Wins,ITERATIONS,TimestepsMean,TimestepsStd,ReturnsMean,ConfortViolation
40,0.9876995078454076,0.4265343450617678,65.60866939665824,0.00011329667222792494,2.9231,[[0.0001133]],2.949862096776729,0.023654730351263403,0.9875862111731797,0.0,67,500.0,0.0,1461.55,0
40,0.9878699856613296,0.46543925673177,67.86440525046986,0.00017047781592194333,2.8793,[[0.00017048]],2.9177099770196486,0.02291383596437219,0.9876995078454076,0.0,68,500.0,0.0,1439.65,0
40,0.9881659074557367,0.4538333876412963,68.90689370447633,0.00029592179440718347,2.8984,[[0.00029592]],2.926717861359376,0.022213258307502717,0.9878699856613296,0.0,69,500.0,0.0,1449.2,0
40,0.9884368306094952,0.44703969721739156,82.69244221813744,0.0002709231537584289,2.9252,[[0.00027092]],2.9487632933146735,0.021543650618236952,0.9881659074557367,0.0,70,500.0,0.0,1462.6,0
40,0.988760021782615,0.4115218386284951,69.1487527002476,0.00032319117311985224,2.915,[[0.00032319]],2.941015980915439,0.020944719060574973,0.9884368306094952,0.0,71,500.0,0.0,1457.5,0
40,0.9889347825896235,0.3817343383356473,76.30144166396859,0.0001747608070085116,2.8906,[[0.00017476]],2.922880709163479,0.020403726399688283,0.988760021782615,0.0,72,500.0,0.0,1445.3,0
40,0.9892138159422242,0.3488152288453108,69.37607656822343,0.0002790333526007105,2.9028,[[0.00027903]],2.933283511698111,0.019921364962273348,0.9889347825896235,0.0,73,500.0,0.0,1451.4,0
40,0.9894400566493774,0.30954646509350425,81.95912090792581,0.00022624070715315803,2.8809,[[0.00022624]],2.9227068258722086,0.019502674865359792,0.9892138159422242,0.0,74,500.0,0.0,1440.45,0
40,0.9897235141318668,0.344598140771204,87.50141427428474,0.00028345748248936875,2.9559,[[0.00028346]],2.9663538544819628,0.019046715639335576,0.9894400566493774,0.0,75,500.0,0.0,1477.95,0
40,0.9900257654136683,0.31632100997204304,70.55095676176192,0.0003022512818015022,2.8835,[[0.00030225]],2.922948468584419,0.018637382993526064,0.9897235141318668,0.0,76,500.0,0.0,1441.75,0
40,0.9903538618876483,0.3068745544575009,84.07044665041337,0.00032809647398002184,2.9228,[[0.0003281]],2.9468016831812753,0.018248526663321735,0.9900257654136683,0.0,77,500.0,0.0,1461.4,0
40,0.9907050239133647,0.2792695754021892,73.34301261879007,0.00035116202571638944,2.9059,[[0.00035116]],2.9393103255695885,0.017901577042679057,0.9903538618876483,0.0,78,500.0,0.0,1452.95,0
40,0.9910275664833385,0.28049851380060176,88.80133726470565,0.0003225425699737716,2.9067,[[0.00032254]],2.9353867053592784,0.01755962168464371,0.9907050239133647,0.0,79,500.0,0.0,1453.35,0
