TimestepsMean,ReturnsStd,TimestepsStd,NormDeltaVar,Wins,RewardMean,OmegaBefore,ITERATIONS,ConfortViolation,Omega,ReturnsMean,RewardStd,NormDeltaOmega,DeltaOmega,Traj
59.372,402.9239851887195,40.22578297559912,0.10974526312971622,1.6,9.779752472460954,0.14892248566029037,1743,0,0.13775209198455532,580.6434637949518,1.2728059738292261,0.011170393675735052,-0.011170393675735052,250
60.264,436.98275806111934,43.543016707619145,0.10344311745181774,4.0,9.788086808355311,0.13775209198455532,1744,0,0.13394516597896808,589.8692634187245,1.2485739307496746,0.003806926005587241,-0.003806926005587241,250
55.124,358.2657253180698,35.728484770558076,0.0954242933495825,2.0,9.764505002275682,0.13394516597896808,1745,0,0.1293361567247637,538.2585737454449,1.3169439870292021,0.004609009254204377,-0.004609009254204377,250
61.908,396.9932948776695,39.63386854698895,0.09050569912697011,1.6,9.789837890539504,0.1293361567247637,1746,0,0.12243150313629042,606.0692841275197,1.2473431224862401,0.006904653588473281,-0.006904653588473281,250
55.308,353.98954051513033,35.32383240816319,0.08427306440000068,1.6,9.765020430678113,0.12243150313629042,1747,0,0.12582393760419988,540.0837499799451,1.3174839781284355,0.003392434467909461,0.003392434467909461,250
58.836,375.7499904786201,37.48697245710835,0.08037698129874896,2.0,9.77983675236612,0.12582393760419988,1748,0,0.1370054765397848,575.4064751622128,1.276031435928818,0.011181538935584906,0.011181538935584906,250
60.68,446.06728114231623,44.45322935400756,0.08195363576533721,4.0,9.789635502699554,0.1370054765397848,1749,0,0.14729305703966955,594.0350823038088,1.2444318473962799,0.010287580499884763,0.010287580499884763,250
67.204,485.90764174504477,48.4139069276587,0.09001505023812381,5.2,9.81189018384455,0.14729305703966955,1750,0,0.16299267824608155,659.3982679150891,1.1767913765017848,0.015699621206411996,0.015699621206411996,250
72.032,564.900719418825,56.22390039831815,0.09461446828478974,9.6,9.831202122606392,0.16299267824608155,1751,0,0.17297076817717896,708.1611512955837,1.1114093019663078,0.009978089931097417,0.009978089931097417,250
75.268,584.2540942145323,58.085627964239144,0.09014536227538252,12.8,9.843394759216944,0.17297076817717896,1752,0,0.1765197001087455,740.8926367367408,1.0687399541759117,0.0035489319315665235,0.0035489319315665235,250
78.008,614.3242692469305,61.073856403538166,0.08997005270833187,14.399999999999999,9.851233835288,0.1765197001087455,1753,0,0.17724261743260625,768.4750490231462,1.0406389665751428,0.0007229173238607611,0.0007229173238607611,250
81.7,640.2517066721267,63.608505720540236,0.09091727814147696,17.599999999999998,9.863441040684169,0.17724261743260625,1754,0,0.1874877194753163,805.8431330238965,0.9984498409855994,0.010245102042710064,0.010245102042710064,250
83.98,654.9017861736787,65.06233626300242,0.08728797351240752,19.2,9.868397088958318,0.1874877194753163,1755,0,0.18710881468085472,828.7479875307195,0.9755820069422636,0.0003789047944615931,-0.0003789047944615931,250
83.036,661.9744534877208,65.80403258159792,0.09537098627556204,17.599999999999998,9.864782983263195,0.18710881468085472,1756,0,0.192642897734165,819.1321197982426,0.9905051353169021,0.005534083053310268,0.005534083053310268,250
90.26,689.9511800990254,68.56337506278408,0.08939688337039726,21.2,9.880539935878323,0.192642897734165,1757,0,0.19431535635589595,891.8175346123774,0.930032281833597,0.00167245862173096,0.00167245862173096,250
87.528,670.012244623805,66.60012924912382,0.08463654795342358,18.8,9.873062169030321,0.19431535635589595,1758,0,0.19220190987928593,864.169385530886,0.9582730975718486,0.0021134464766100203,-0.0021134464766100203,250
82.756,670.5919781607193,66.61219455925469,0.08049265364403645,20.0,9.868073592127857,0.19220190987928593,1759,0,0.18026012603131153,816.6422981901329,0.9778403695126155,0.011941783847974397,-0.011941783847974397,250
83.172,651.317984109793,64.72451170924352,0.07776200190774701,18.0,9.86602105838111,0.18026012603131153,1760,0,0.1691427138181905,820.5767034676735,0.9873372223267127,0.011117412213121042,-0.011117412213121042,250
76.692,590.3260172581628,58.66321791378308,0.06754578981404645,14.000000000000002,9.848625235108113,0.1691427138181905,1761,0,0.16577774476773452,755.3107665309112,1.0517946703615773,0.003364969050455968,-0.003364969050455968,250
73.12,583.0474860268927,57.98842643148717,0.06782770147942928,11.600000000000001,9.837240962201548,0.16577774476773452,1762,0,0.17019830411990214,719.2990591561771,1.0912778338226448,0.004420559352167619,0.004420559352167619,250
74.888,602.0938559439288,59.851444894839425,0.06088150146077007,13.600000000000001,9.844205830735707,0.17019830411990214,1763,0,0.16981003917203652,737.2128862521355,1.066561205471947,0.0003882649478656186,-0.0003882649478656186,250
73.78,595.6098800370493,59.2084757446094,0.06952687864783706,13.200000000000001,9.841293468864972,0.16981003917203652,1764,0,0.1564611131259283,726.0906321328576,1.0768094317475303,0.013348926046108212,-0.013348926046108212,250
76.624,585.0316783846558,58.21452244929954,0.06798806221820065,11.200000000000001,9.843936610255652,0.1564611131259283,1765,0,0.1494047513037414,754.2817988242291,1.0689460776222013,0.007056361822186913,-0.007056361822186913,250
68.332,541.6443409780144,53.86796613944135,0.07236744837603339,9.6,9.823428450712669,0.1494047513037414,1766,0,0.14566478574267022,671.2545128940981,1.1405215325689637,0.0037399655610711735,-0.0037399655610711735,250
71.252,549.6439415550611,54.69658578010148,0.08000435066211804,9.2,9.829713017297987,0.14566478574267022,1767,0,0.14195859439124348,700.3867119085161,1.119846364138967,0.0037061913514267464,-0.0037061913514267464,250
67.312,486.63655043572595,48.45739010718592,0.08517623214501832,6.0,9.814233392050411,0.14195859439124348,1768,0,0.14219261864755672,660.6156780856974,1.1710635205696847,0.00023402425631324775,0.00023402425631324775,250
62.62,453.2862288770328,45.161616445827086,0.08395996437854865,4.3999999999999995,9.796672758501606,0.14219261864755672,1769,0,0.1476060019673257,613.4676481373706,1.2230338010492112,0.005413383319768983,0.005413383319768983,250
71.724,556.9289617371157,55.41855126219017,0.09156466860655756,9.6,9.83130140653195,0.1476060019673257,1770,0,0.1546017100680484,705.1402620820975,1.1138088484530073,0.006995708100722697,0.006995708100722697,250
75.352,572.5738692674521,56.9504705511728,0.09120616477266223,11.200000000000001,9.841935499566352,0.1546017100680484,1771,0,0.16487449847705457,741.6095237633238,1.0777906087591174,0.010272788409006167,0.010272788409006167,250
73.372,566.470878713492,56.399446947643014,0.09916457112026997,8.799999999999999,9.833356383075827,0.16487449847705457,1772,0,0.1691350417392409,721.4930245390394,1.1062218895555451,0.004260543262186334,0.004260543262186334,250
81.152,627.5354530542014,62.36942276468494,0.09713956421717425,16.0,9.860237750469688,0.1691350417392409,1773,0,0.15846133204320134,800.1780139261159,1.011296568189648,0.010673709696039563,-0.010673709696039563,250
76.208,610.575735405443,60.71234418139362,0.10193311133456641,13.600000000000001,9.847632467266605,0.15846133204320134,1774,0,0.15147658956414786,750.4683750654535,1.05750489371717,0.0069847424790534796,-0.0069847424790534796,250
66.324,523.3181814922158,52.08265569265837,0.10282627484788309,8.0,9.814232630414812,0.15147658956414786,1775,0,0.149105019275904,650.919164979632,1.167142159146154,0.0023715702882438627,-0.0023715702882438627,250
74.216,561.8034090178938,55.95806772932746,0.11066773203067569,8.0,9.83422816501645,0.149105019275904,1776,0,0.15567083924912933,729.8570774948608,1.1048104187469772,0.006565819973225334,0.006565819973225334,250
69.584,563.3890841677296,56.068912456012555,0.1215090993859952,9.2,9.825101480703477,0.15567083924912933,1777,0,0.17073495854676876,683.6698614332707,1.132853045674988,0.015064119297639428,0.015064119297639428,250
75.076,613.1969073295022,60.996050888561626,0.11605940643928983,12.8,9.843282471639807,0.17073495854676876,1778,0,0.19445432982398278,738.9942748408303,1.0700573520659251,0.02371937127721402,0.02371937127721402,250
90.616,700.0379228901398,69.52200043151808,0.11459495161367955,24.4,9.8853673391843,0.19445432982398278,1779,0,0.20843395835588463,895.7724468075247,0.9094550093074638,0.01397962853190185,0.01397962853190185,250
99.264,739.045974748431,73.37074555979379,0.12170498827562116,30.4,9.902582001727174,0.20843395835588463,1780,0,0.21399617343201882,982.969899819446,0.8347306271090337,0.0055622150761341915,0.0055622150761341915,250
97.984,731.1917958120558,72.5833572108648,0.12238245451757963,30.0,9.900406739971267,0.21399617343201882,1781,0,0.19872617414642707,970.0814540093447,0.8424253933731896,0.015269999285591751,-0.015269999285591751,250
94.268,712.9049573934201,70.79036781935802,0.12761778551656558,26.400000000000002,9.892418314160864,0.19872617414642707,1782,0,0.18277621045227072,932.5384896393163,0.8802091823333977,0.015949963694156355,-0.015949963694156355,250
82.648,653.6280331740322,64.92250839269845,0.11713914350858555,19.2,9.867088229178098,0.18277621045227072,1783,0,0.1746916702409911,815.4951079651113,0.9832903580473821,0.008084540211279606,-0.008084540211279606,250
74.636,607.9833584946836,60.412378731514956,0.11714342666028377,14.799999999999999,9.84543273249912,0.1746916702409911,1784,0,0.15492331592856357,734.8237174228043,1.0609903105485243,0.019768354312427544,-0.019768354312427544,250
65.068,487.44621616956994,48.54102776002997,0.11778746560367334,6.0,9.806935573490511,0.15492331592856357,1785,0,0.13618287721223912,638.1176838958806,1.190492343432957,0.018740438716324442,-0.018740438716324442,250
