ITERATIONS,RewardStd,Traj,ConfortViolation,OmegaBefore,DeltaOmega,NormDeltaVar,Wins,ReturnsMean,RewardMean,ReturnsStd,TimestepsMean,TimestepsStd,NormDeltaOmega,Omega
32,0.3152085107449549,250,0,4.5159194186813165,-0.12253159172541306,0.20931671068157878,77.60000000000001,1724.6671258640858,8.922784269401545,177.22645805758893,193.288,19.28515117908076,0.12253159172541306,4.3933878269559035
33,0.2900524836400348,250,0,4.3933878269559035,-0.12253379399320163,0.20612509617257263,81.6,1722.458424809168,8.980492308702651,220.2395463063187,191.8,23.92254167098471,0.12253379399320163,4.270854032962702
34,0.2648653303367561,250,0,4.270854032962702,-0.12207924447176044,0.19274377040721977,84.8,1764.4295198932045,9.035012493820432,175.29811148019965,195.288,18.94658428318941,0.12207924447176044,4.148774788490941
35,0.24616685923885076,250,0,4.148774788490941,-0.12355681691270082,0.1838027683955213,87.2,1769.3791692666762,9.090148212499876,185.06142808392448,194.648,19.903469446305085,0.12355681691270082,4.025217971578241
36,0.1773595845405588,250,0,4.025217971578241,-0.12304493991562104,0.1879778336792182,93.60000000000001,1809.8795987748308,9.152269503088874,141.5424091075499,197.752,15.096307363060678,0.12304493991562104,3.9021730316626195
37,0.14602431823877013,250,0,3.9021730316626195,-0.12363272550733839,0.18998098296592528,96.0,1836.427503441382,9.203120632248435,95.40694022479765,199.544,10.099904157961104,0.12363272550733839,3.778540306155281
38,0.15745047244624943,250,0,3.778540306155281,-0.12327801010744421,0.17484485508417452,95.19999999999999,1846.7593111847928,9.251559550260463,92.43697607615421,199.616,9.67287671791593,0.12327801010744421,3.655262296047837
39,0.1332784717545006,250,0,3.655262296047837,-0.12434279238372437,0.15104146630257573,96.8,1859.1383004613836,9.300900006310451,78.39449802810609,199.888,8.079817819728365,0.12434279238372437,3.5309195036641126
40,0.1305849107720351,250,0,3.5309195036641126,-0.12351038748564624,0.14707678710636118,96.8,1861.7224138206839,9.34824864335123,120.9859343207373,199.152,12.658629309684361,0.12351038748564624,3.4074091161784663
41,0.08105730191319149,250,0,3.4074091161784663,-0.12215059499237624,0.1340757949647211,99.2,1884.8973511789698,9.391803280478783,33.53206114950301,200.696,3.3852007326006532,0.12215059499237624,3.28525852118609
42,0.09575853878520657,250,0,3.28525852118609,-0.12266843947561723,0.1394422977444668,98.4,1890.3179673836537,9.438376110363757,75.66941343140483,200.28,7.839999999999999,0.12266843947561723,3.162590081710473
