ITERATIONS,ReturnsMean,NormDeltaOmega,TimestepsStd,NormDeltaVar,TimestepsMean,DeltaOmega,Wins,OmegaBefore,Omega,RewardMean,ReturnsStd,Traj,ConfortViolation,RewardStd
1348,-79.43318189597339,0.03102117937848803,0.5052682455884201,0.08465055242656096,5.552,-0.03102117937848803,0.0,23.379244234434974,23.348223055056486,-14.307129304029793,8.770824992063922,250,0,6.709903920944545
1378,-78.8104661026411,0.0024665973936883745,0.506027667227791,0.05142421878431012,5.544,-0.0024665973936883745,0.0,23.343707278136876,23.341240680743187,-14.215452038715927,8.769162492072798,250,0,6.672789656198429
1408,-77.76317516857492,0.020713201357118294,0.4999839997439918,0.12303706017761634,5.496,-0.020713201357118294,0.0,23.318915737329725,23.298202535972607,-14.149049339260353,8.682673991201982,250,0,6.676985471441224
1438,-78.36691845619862,0.009131578680353414,0.4983974317750845,0.17857288038737612,5.54,0.009131578680353414,0.0,23.30166355165312,23.310795130333474,-14.14565315093838,8.605039480195348,250,0,6.642911707805505
1468,-76.66392568494854,0.0007749564944745657,0.5,0.04019634139231242,5.5,-0.0007749564944745657,0.0,23.21058775034748,23.209812793853004,-13.938895579081553,8.493926860566393,250,0,6.575217382923177
1498,-75.25010944295008,0.007472284110843219,0.49993599590347565,0.08292879214149042,5.508,0.007472284110843219,0.0,23.051660128541293,23.059132412652136,-13.66196612980212,8.35399563781448,250,0,6.4390319313999616
1528,-87.92354373484056,0.09983836321852735,0.452831094338717,0.2861293464797296,5.288,0.09983836321852735,0.0,24.64969667210884,24.749535035327366,-16.62699389841917,9.297503283358818,250,0,8.033294255162321
1558,-81.59458855420662,0.043402761435153536,0.4058768286069064,0.14813702372017257,5.208,-0.043402761435153536,0.0,24.196352730181864,24.15294996874671,-15.667163700884528,7.880853084096823,250,0,7.6413031945508685
1588,-80.14607574154643,0.0370749705515081,0.4270831300812525,0.11700142301633262,5.24,0.0370749705515081,0.0,23.992799265786758,24.029874236338266,-15.295052622432525,8.0679370332781,250,0,7.431729039413106
1618,-81.31554198208909,0.0022793494821620186,0.3907121702737195,0.08338493295351053,5.188,0.0022793494821620186,0.0,24.210779604283882,24.213058953766044,-15.67377447611586,7.591504200396861,250,0,7.6628970011654705
1648,-83.1183501615124,0.0585620521225394,0.408724846320847,0.16190637271161834,5.212,0.0585620521225394,0.0,24.335073551076025,24.393635603198565,-15.947496193690025,8.068736130648354,250,0,7.773983343465431
1678,-82.1763429149548,0.01547006191136191,0.2945912422323515,0.14643868819051625,5.096,-0.01547006191136191,0.0,24.472398984748963,24.4569289228376,-16.12565598802096,5.917592342868892,250,0,7.971326642112459
1708,-79.84581004281006,0.010147515676486307,0.380820167533181,0.10316338760224544,5.176,-0.010147515676486307,0.0,24.08364710460245,24.073499588925962,-15.426161136555264,7.250920098217235,250,0,7.5528172132650635
1738,-82.77938790825385,0.014163251511849495,0.32496153618543844,0.08137741653634468,5.12,-0.014163251511849495,0.0,24.487072672241105,24.472909420729255,-16.167849200830826,6.5097191840445525,250,0,7.969125459811023
1768,-84.08388021679717,0.003774120481395471,0.31536645351083237,0.11056916970364825,5.112,-0.003774120481395471,0.0,24.6308265397623,24.627052419280904,-16.448333375742795,6.425841478383303,250,0,8.11493459780476
1798,-79.74186221376019,0.041430597380269774,0.34278856457005685,0.10522997971235426,5.136,0.041430597380269774,0.0,24.150115417346683,24.191546014726953,-15.526063515140228,6.660367865996278,250,0,7.638241832017141
1828,-83.38678369668082,0.0033080746847495845,0.32496153618543844,0.130881854966693,5.12,-0.0033080746847495845,0.0,24.538716633666656,24.535408558981906,-16.286481190757975,6.528535384762007,250,0,8.02741266976114
1858,-81.41904879516575,0.008303382614602839,0.32022492095400695,0.08787745247410814,5.116,0.008303382614602839,0.0,24.36358215915197,24.371885541766574,-15.914591242213792,6.34647661811159,250,0,7.8480766770822195
1888,-80.86272699730434,0.023732766277532846,0.31536645351083237,0.06652174578872636,5.112,0.023732766277532846,0.0,24.31101907128626,24.334751837563793,-15.818217331241069,6.190944881917964,250,0,7.804429664682965
1918,-81.61582708461886,0.019593958472306383,0.3628553430776512,0.09721311896019795,5.156,-0.019593958472306383,0.0,24.295069483023653,24.275475524551346,-15.829291521454394,7.132900639515652,250,0,7.768317713333844
1948,-81.03519864959313,0.05644775029185567,0.34698703145794946,0.11169629650346528,5.14,-0.05644775029185567,0.0,24.26727265768393,24.210824907392073,-15.765602850115396,6.726077212907028,250,0,7.752058863573085
1978,-82.06797159754856,0.0029997600211828512,0.289025950392002,0.07085293722202919,5.092,-0.0029997600211828512,0.0,24.47095133939961,24.467951579378425,-16.117040769353608,5.804742284855366,250,0,7.971163159786313
