# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;average_reward;w_current[0];w_current[1];w_target[0];w_target[1];theta_current[0];theta_current[1];theta_target[0];theta_target[1]
5.730000000000000000000000000000e+03;5.027655675991036332561634480953e+02;1.499613104276130925995857978705e+00;nan;3.764118867247677746590284186823e-01;3.764118867247493449568196410837e-01;nan;nan;1.076168592960227536614592480646e-03;nan;1.000000000000000000000000000000e+00;nan;8.069182622067812456212454463866e-04;5.105626322764970304035614390159e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;8.119965979628709362714289454743e-01;1.880034020371285641282099732052e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
5.731000000000000000000000000000e+03;5.029259863782086767969303764403e+02;1.498379247608625952636884903768e+00;nan;3.760068040742576278567810277309e-01;3.760068040742437500689732132741e-01;nan;nan;1.077601252614621358053015320877e-03;nan;1.000000000000000000000000000000e+00;nan;8.073276770574046518405553207742e-04;5.107260424712457336227089399472e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;8.121991906644019376670939891483e-01;1.878008093355975627325449295313e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
5.732000000000000000000000000000e+03;5.030864865509350352112960536033e+02;1.497144258925797055681528036075e+00;nan;3.756016186711956250654509403830e-01;3.756016186711817472776431259263e-01;nan;nan;1.079037367069519883638895052513e-03;nan;1.000000000000000000000000000000e+00;nan;8.077372996372700689193813161637e-04;5.108895355042328390027250861749e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;8.124018347552409702316822404100e-01;1.875981652447585579235322938985e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
5.733000000000000000000000000000e+03;5.032470681585882061881420668215e+02;1.495908137524949665930762421340e+00;nan;3.751963304895176154474256691174e-01;3.751963304895033490815592358558e-01;nan;nan;1.080476948790317281642869851055e-03;nan;1.000000000000000000000000000000e+00;nan;8.081471300517821141837226939231e-04;5.110531114174704292452133813640e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;8.126045302484232735196201247163e-01;1.873954697515762268800187939632e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
5.734000000000000000000000000000e+03;5.034077312424739147900254465640e+02;1.494670882702999303859314750298e+00;nan;3.747909395031529533603986692469e-01;3.747909395031385759722297734697e-01;nan;nan;1.081920010302456691339556549281e-03;nan;1.000000000000000000000000000000e+00;nan;8.085571684064054697599344123660e-04;5.112167702529916368803242221475e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;8.128072771569875287767104055092e-01;1.871927228430119716229285131703e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
5.735000000000000000000000000000e+03;5.035684758439392680884338915348e+02;1.493432493756431167497567003011e+00;nan;3.743854456860244428462181076611e-01;3.743854456860090107461758179852e-01;nan;nan;1.083366564191758953106248242193e-03;nan;1.000000000000000000000000000000e+00;nan;8.089674148066178282004412558592e-04;5.113805120528511771738067182014e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;8.130100754939756368955272591847e-01;1.869899245060238357485360438659e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
5.736000000000000000000000000000e+03;5.037293020043559295118029695004e+02;1.492192969981371852838947233977e+00;nan;3.739798490120481710974331690522e-01;3.739798490120278540160825286875e-01;nan;nan;1.084816623104840459940190200427e-03;nan;1.000000000000000000000000000000e+00;nan;8.093778693579873045188532998395e-04;5.115443368591253481270086922450e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;8.132129252724329404600212001242e-01;1.867870747275665599396177185554e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
5.737000000000000000000000000000e+03;5.038902097650894233993312809616e+02;1.490952310673566927334832143970e+00;nan;3.735741494551336194795965184312e-01;3.735741494551167996007734473096e-01;nan;nan;1.086270199749413481460358354980e-03;nan;1.000000000000000000000000000000e+00;nan;8.097885321661126966502619595190e-04;5.117082447139110534806150099030e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;8.134158265054078906786116931471e-01;1.865841734945916374766028411614e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
5.738000000000000000000000000000e+03;5.040511991675415401914506219327e+02;1.489710515128359613612474277033e+00;nan;3.731683469891837745535667636432e-01;3.731683469891695636988515616395e-01;nan;nan;1.087727306894747383511634630793e-03;nan;1.000000000000000000000000000000e+00;nan;8.101994033366785629216022535104e-04;5.118722356593272238001190999057e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;8.136187792059523804510945410584e-01;1.863812207940471754596956088790e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
5.739000000000000000000000000000e+03;5.042122702531444815576833207160e+02;1.488467582640657260739658340754e+00;nan;3.727624415880947950086010678206e-01;3.727624415880786967747440030507e-01;nan;nan;1.089187957371939245027059328663e-03;nan;1.000000000000000000000000000000e+00;nan;8.106104829753629564467742874001e-04;5.120363097375136618438773439266e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;8.138217833871215223240369596169e-01;1.861782166128780335867531903205e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
