Traj,OmegaBefore,Omega,ConfortViolation,ReturnsStd,TimestepsMean,TimestepsStd,NormDeltaOmega,Wins,ITERATIONS,DeltaOmega,ReturnsMean,RewardMean,RewardStd,NormDeltaVar
250,2.1774411148711126,2.107463359901684,0,293.08240299133695,185.776,29.50426789466229,0.06997775496942849,67.60000000000001,53,-0.06997775496942849,1802.4220967889246,9.702125660951493,0.4112640780794533,0.12674838072416625
250,2.107463359901684,2.0446881668500754,0,301.06142599095307,184.496,30.290229183682317,0.06277519305160872,64.4,54,-0.06277519305160872,1792.2910192141287,9.71452508029512,0.4329494328964926,0.13761576359921718
250,2.0446881668500754,1.9879267046224365,0,310.32238170748855,183.292,31.14184862849346,0.05676146222763889,65.2,55,-0.05676146222763889,1783.5937637675377,9.730887129648526,0.4298558511272554,0.14357372577253696
250,1.9879267046224365,1.9378318314249103,0,299.62780924873243,186.528,30.060758739592718,0.050094873197526146,72.0,56,-0.050094873197526146,1818.6268741688593,9.749886741769918,0.38347812235550516,0.159833758551157
250,1.9378318314249103,1.8939976722978893,0,258.43837597312887,190.228,25.84631532733438,0.043834159127021044,72.39999999999999,57,-0.043834159127021044,1857.5088316353012,9.764644698126991,0.37717473385540357,0.17606380148279863
250,1.8939976722978893,1.8558955906700032,0,222.77765955513956,192.776,22.206436544389554,0.038102081627886086,80.4,58,-0.038102081627886086,1885.3010970436078,9.779750057287254,0.3172687564631339,0.17858479655676082
250,1.8558955906700032,1.82260619242678,0,233.43104187446104,192.692,23.317056761092296,0.03328939824322319,78.0,59,-0.03328939824322319,1885.6969508018274,9.786067666544678,0.3357921947068942,0.17858715889821022
250,1.82260619242678,1.7894208133194536,0,218.49085217085775,193.84,21.816104143499132,0.03318537910732644,81.6,60,-0.03318537910732644,1899.0892071496364,9.797199789257308,0.306394932611112,0.16832680094266309
250,1.7894208133194536,1.7584968932238383,0,261.263966970263,191.456,26.139167239986815,0.030923920095615287,77.2,61,-0.030923920095615287,1876.2048940061734,9.799666210545363,0.3423689376791861,0.15837567784250192
250,1.7584968932238383,1.7243713395246794,0,302.66820104000647,186.256,30.22870265161904,0.03412555369915893,68.4,62,-0.03412555369915893,1825.5391369075421,9.80123666838943,0.4073538865735638,0.15360711406580863
250,1.7243713395246794,1.6877610186742444,0,251.33691163963994,190.044,25.02946391755125,0.03661032085043492,72.39999999999999,63,-0.03661032085043492,1864.4964023921411,9.81086696971302,0.37720000188556974,0.1461386539686484
250,1.6877610186742444,1.6484165696594086,0,239.89767587144414,190.712,23.83738777634831,0.0393444490148358,73.2,64,-0.0393444490148358,1872.9744838332704,9.82095769449888,0.3712027173914295,0.15511451829707965
250,1.6484165696594086,1.6075693296544695,0,224.34054876192275,192.428,22.308850620325558,0.04084724000493911,75.6,65,-0.04084724000493911,1891.341243156781,9.82882555115046,0.3530389902178818,0.14948765397960215
250,1.6075693296544695,1.5658629630637055,0,275.010413623002,190.5,27.447294948683012,0.04170636659076399,74.8,66,-0.04170636659076399,1873.897431095161,9.836731921759375,0.3605377829867844,0.14802913755340144
250,1.5658629630637055,1.5247312540371851,0,279.7379714574162,189.612,27.87051230243176,0.04113170902652041,73.6,67,-0.04113170902652041,1865.9449921767007,9.840859187059367,0.3702738736477916,0.14761640385194477
250,1.5247312540371851,1.484139737513305,0,324.28721763962966,185.06,32.276809012044545,0.040591516523880156,70.0,68,-0.040591516523880156,1821.4933577650559,9.842717809170301,0.3996502429151735,0.143663028893932
250,1.484139737513305,1.4438941025101977,0,305.5189497826445,185.068,30.352320767941286,0.040245635003107294,67.2,69,-0.040245635003107294,1822.1200764856617,9.845678758540979,0.41791706636296466,0.14699311534115078
250,1.4438941025101977,1.4077382492564723,0,321.140579096188,186.292,31.934914059693348,0.03615585325372539,73.2,70,-0.03615585325372539,1836.0436480373553,9.855729972502068,0.3771772765381538,0.14915883303554012
250,1.4077382492564723,1.376454052815651,0,314.2786802424583,186.716,31.262682930292463,0.031284196440821255,71.6,71,-0.031284196440821255,1840.7964384667193,9.858803950741871,0.3882324004381772,0.15385910780521414
250,1.376454052815651,1.3481108640516972,0,312.4937872078183,186.436,31.015704151284396,0.028343188763953808,73.2,72,-0.028343188763953808,1839.482471999697,9.866562638115475,0.37773055259139715,0.15161480177977177
250,1.3481108640516972,1.32311030528305,0,347.9546641446214,181.696,34.57345201162302,0.025000558768647263,64.0,73,-0.025000558768647263,1791.4794356324035,9.859762656483376,0.44295250172765105,0.15311018093063863
250,1.32311030528305,1.3036224865898847,0,360.02234732087766,181.484,35.765929933387724,0.019487818693165293,68.0,74,-0.019487818693165293,1790.904464824954,9.868112146662815,0.4180890559443956,0.16241755270978697
250,1.3036224865898847,1.2875533664467305,0,397.3718068893135,179.328,39.50944717406205,0.016069120143154203,69.6,75,-0.016069120143154203,1770.2083198122843,9.87134368203674,0.4100441068153138,0.16620522205519175
250,1.2875533664467305,1.27101053682703,0,436.99635111379814,172.828,43.490210576634375,0.01654282961970055,57.599999999999994,76,-0.01654282961970055,1704.5469357842753,9.86267812961022,0.49239643780731923,0.16374889874141849
250,1.27101053682703,1.2538582478214633,0,433.6671841770862,174.016,43.1672994754131,0.017152289005566645,59.599999999999994,77,-0.017152289005566645,1717.3213371717968,9.868755385549585,0.479206859712489,0.1733269536596643
250,1.2538582478214633,1.2364904926902647,0,390.91770897297886,177.272,38.84922156234279,0.017367755131198592,60.4,78,-0.017367755131198592,1750.1016893933313,9.87240900646087,0.47004273015034786,0.17913922659858164
250,1.2364904926902647,1.2178745703543268,0,352.8898817615367,182.596,35.00641061291489,0.018615922335937896,67.2,79,-0.018615922335937896,1804.325719037467,9.881518319335948,0.4219521990709817,0.1818176204054602
250,1.2178745703543268,1.2011990546136286,0,359.9813100709305,184.1,35.74311122440239,0.016675515740698144,70.8,80,-0.016675515740698144,1820.3489495206313,9.887826993593867,0.3967797280787384,0.17628050938059422
250,1.2011990546136286,1.1824477852998725,0,407.1937696772923,179.856,40.514728976015626,0.018751269313756147,65.60000000000001,81,-0.018751269313756147,1778.0215874680127,9.885806353238218,0.4353030779746941,0.1694261162886802
250,1.1824477852998725,1.1623852490772668,0,405.53183221511426,177.788,40.3417284706543,0.020062536222605676,58.4,82,-0.020062536222605676,1756.8888483052178,9.881931560652115,0.48119009930214246,0.1721802898952481
250,1.1623852490772668,1.1388804040288913,0,419.71546920808186,175.312,41.763125553531076,0.023504845048375467,55.2,83,-0.023504845048375467,1732.3917428286313,9.8817636147476,0.5028810729613012,0.17510068849470173
250,1.1388804040288913,1.112607612448191,0,435.1797623237726,171.956,43.28558725488196,0.026272791580700394,51.2,84,-0.026272791580700394,1698.8464430958045,9.879541528622465,0.5299464146655131,0.17623151250235586
250,1.112607612448191,1.0859093132468385,0,419.48747980957495,174.944,41.71883104786135,0.02669829920135247,54.400000000000006,85,-0.02669829920135247,1729.3302851862825,9.885050560100845,0.5082111793876183,0.17835997532078818
