RewardStd,TimestepsMean,DeltaOmega,NormDeltaOmega,ITERATIONS,Omega,TimestepsStd,Traj,Theta,OmegaBefore,Wins,RewardMean,NormDeltaVar,ReturnsStd,ConfortViolation,ReturnsMean
2.4851639603857127,500.0,[[0.00536621]],0.005366211506471319,57,0.8677768011496217,0.0,40,0.18222673063570566,0.8624105896431504,0.0,2.3997,0.6292198168914922,60.35128416197952,0,1199.85
2.4523794078404753,500.0,[[0.00287511]],0.0028751112528253575,58,0.8706519124024471,0.0,40,0.17397768728450894,0.8677768011496217,0.0,2.3782,0.8051613176813532,72.83261631988789,0,1189.1
2.506020301194705,500.0,[[0.0022637]],0.002263702202396134,59,0.8729156146048432,0.0,40,0.16476958329808983,0.8706519124024471,0.0,2.4215,0.9352124674471156,62.59502775780197,0,1210.75
2.5109670627071154,500.0,[[0.0021913]],0.0021912977810509826,60,0.8751069123858942,0.0,40,0.1563263549238514,0.8729156146048432,0.0,2.4229,0.8951471534821458,62.68969213515089,0,1211.45
2.52937759142442,500.0,[[0.00127892]],0.0012789239977759603,61,0.8763858363836702,0.0,40,0.14895476759924509,0.8751069123858942,0.0,2.443,0.8143241417230556,58.12873643904536,0,1221.5
2.509935457337499,500.0,[[0.00306368]],0.0030636812361762855,62,0.8794495176198465,0.0,40,0.14201899665822532,0.8763858363836702,0.0,2.432,0.7971219736984523,57.54476518329013,0,1216.0
2.5632409172764077,500.0,[[0.0021647]],0.002164698693370881,63,0.8816142163132173,0.0,40,0.13509898178546076,0.8794495176198465,0.0,2.486,0.8283747386462181,54.644304369257,0,1243.0
2.5555547166906836,500.0,[[0.00422911]],0.004229112169336524,64,0.8858433284825539,0.0,40,0.128248685054262,0.8816142163132173,0.0,2.4747,0.8560800079766473,58.1349937645133,0,1237.35
2.5642963635274296,500.0,[[0.00277449]],0.0027744867193285616,65,0.8886178152018824,0.0,40,0.12155707027583698,0.8858433284825539,0.0,2.4804,0.8747730364532984,62.22346824149229,0,1240.2
2.6162080651202033,500.0,[[0.00341198]],0.0034119762438404866,66,0.8920297914457229,0.0,40,0.1155616104028618,0.8886178152018824,0.0,2.5256,0.8197424129762148,57.33375968833721,0,1262.8
2.5606231878197154,500.0,[[0.00329813]],0.0032981271930156986,67,0.8953279186387386,0.0,40,0.10945968860062882,0.8920297914457229,0.0,2.4667,0.8731854962245684,71.70409681461723,0,1233.35
2.6241309723411295,500.0,[[0.00399985]],0.003999849774571906,68,0.8993277684133105,0.0,40,0.10353381895829167,0.8953279186387386,0.0,2.5392,0.8898603902862163,52.62166854063067,0,1269.6
2.626973755103008,500.0,[[0.0045044]],0.004504404220251668,69,0.9038321726335622,0.0,40,0.09795860982437869,0.8993277684133105,0.0,2.5333,0.8793301277002996,52.59731457023258,0,1266.65
2.6686377779683776,500.0,[[0.00487101]],0.004871012631033733,70,0.9087031852645959,0.0,40,0.09302621022173552,0.9038321726335622,0.0,2.5829,0.8159557543436442,70.13984245776433,0,1291.45
2.6664401718396005,500.0,[[0.00467436]],0.004674362347390493,71,0.9133775476119864,0.0,40,0.08873352277437332,0.9087031852645959,0.0,2.5959,0.7423620674739624,66.04769110271758,0,1297.95
2.660608033889998,500.0,[[0.00428688]],0.00428688122736931,72,0.9176644288393557,0.0,40,0.08453834288866913,0.9133775476119864,0.0,2.5683,0.7575096423244645,75.9768221235924,0,1284.15
2.717057349413148,500.0,[[0.00456845]],0.004568454069073247,73,0.922232882908429,0.0,40,0.0804831015615093,0.9176644288393557,0.0,2.6456,0.7653984278051738,71.24717538260727,0,1322.8
2.742695241910774,500.0,[[0.00477972]],0.0047797241351823505,74,0.9270126070436113,0.0,40,0.07661002439785478,0.922232882908429,0.0,2.6659,0.7646077316976445,70.63708303716966,0,1332.95
2.739008864534761,500.0,[[0.0032994]],0.0032994004644355535,75,0.9303120075080469,0.0,40,0.0729567821163027,0.9270126070436113,0.0,2.6638,0.7544175233255217,67.66232334172393,0,1331.9
2.739090622816266,500.0,[[0.0036082]],0.003608196463486091,76,0.933920203971533,0.0,40,0.0694772861061064,0.9303120075080469,0.0,2.6516,0.751623714007863,56.389360698628245,0,1325.8
2.743885564304751,500.0,[[0.00353232]],0.003532316106493849,77,0.9374525200780268,0.0,40,0.06665886477864229,0.933920203971533,0.0,2.6649,0.6348016892741128,66.26535671072781,0,1332.45
2.7392763715988937,500.0,[[0.00377302]],0.0037730222743009856,78,0.9412255423523278,0.0,40,0.06377948992782058,0.9374525200780268,0.0,2.6636,0.6748092617024923,83.1285751110892,0,1331.8
2.7866606521067467,500.0,[[0.00358238]],0.0035823813453489395,79,0.9448079236976767,0.0,40,0.061078297654435273,0.9412255423523278,0.0,2.7079,0.6593730029233527,63.56962718154009,0,1353.95
2.767224875213433,500.0,[[0.00304595]],0.003045946753439499,80,0.9478538704511162,0.0,40,0.0587271635780646,0.9448079236976767,0.0,2.6907,0.5965026539914646,76.86662149463837,0,1345.35
2.808282348696441,500.0,[[0.00252899]],0.0025289896453868366,81,0.9503828600965031,0.0,40,0.056406225656532236,0.9478538704511162,0.0,2.7495,0.6112220732820575,71.87863034309989,0,1374.75
