ConfortViolation,TimestepsStd,Wins,Theta,RewardMean,ITERATIONS,DeltaOmega,NormDeltaVar,Omega,ReturnsStd,RewardStd,TimestepsMean,OmegaBefore,Traj,ReturnsMean,NormDeltaOmega
0,0.0,0.0,0.017919402392782748,1.9003,20,[[-0.00444939]],0.33119032670453663,0.11529000957072284,13.952687913086855,0.7018973642919598,500.0,0.11973940102486258,40,950.15,0.004449391454139737
0,0.0,0.0,0.017395926555380244,1.8952,21,[[-0.00419021]],0.4311552990514471,0.11109979981106638,12.183595528414426,0.6848481291498137,500.0,0.11529000957072284,40,947.6,0.004190209759656463
0,0.0,0.0,0.016777117409267288,1.8979,22,[[-0.00444898]],0.5264248581940905,0.10665081985330038,14.310747709326721,0.6894748653866941,500.0,0.11109979981106638,40,948.95,0.004448979957765997
0,0.0,0.0,0.016112582385399327,1.9015,23,[[-0.00446918]],0.5870151935555867,0.10218163940850938,13.868579595618291,0.645056392883599,500.0,0.10665081985330038,40,950.75,0.004469180444790999
0,0.0,0.0,0.01542622108612648,1.905,24,[[-0.00435022]],0.6318444311901317,0.09783141460854669,12.212698309546504,0.6724395883646351,500.0,0.10218163940850938,40,952.5,0.004350224799962693
0,0.0,0.0,0.014699407055906649,1.9059,25,[[-0.0041498]],0.6999928881676212,0.09368161747709779,9.695230786319634,0.5954369739947294,500.0,0.09783141460854669,40,952.95,0.004149797131448904
0,0.0,0.0,0.013990083157859415,1.9162,26,[[-0.00424517]],0.7168295852614293,0.08943645046993816,10.797684937059424,0.5746107900135534,500.0,0.09368161747709779,40,958.1,0.004245167007159628
0,0.0,0.0,0.013353795381057836,1.9151,27,[[-0.00433641]],0.6741885396660408,0.08510003958175369,12.308432069114247,0.6074471088086599,500.0,0.08943645046993816,40,957.55,0.004336410888184469
0,0.0,0.0,0.012748408004767698,1.9142,28,[[-0.0041738]],0.6715376294020956,0.08092624226626698,9.465199416811037,0.5757068351166242,500.0,0.08510003958175369,40,957.1,0.004173797315486713
0,0.0,0.0,0.012161614938998555,1.916,29,[[-0.00420796]],0.6816560001042049,0.07671828478216156,9.848857801796104,0.5412430138117258,500.0,0.08092624226626698,40,958.0,0.004207957484105421
0,0.0,0.0,0.011573724155607602,1.9208,30,[[-0.00404265]],0.7163179561730786,0.07267563423653357,8.604649905719581,0.5154874974235554,500.0,0.07671828478216156,40,960.4,0.004042650545627982
0,0.0,0.0,0.010956341286382384,1.9241,31,[[-0.00399808]],0.7920483596210701,0.06867755478238233,9.690072239152812,0.5227228615624152,500.0,0.07267563423653357,40,962.05,0.003998079454151246
0,0.0,0.0,0.010330751130311167,1.9235,32,[[-0.00380249]],0.8489389698024468,0.06487506387956259,11.010790162381626,0.49552774897073115,500.0,0.06867755478238233,40,961.75,0.0038024909028197412
0,0.0,0.0,0.009728447019233092,1.9329,33,[[-0.00355197]],0.8668446313338762,0.061323091130891336,9.148633777783434,0.47675737015802916,500.0,0.06487506387956259,40,966.45,0.0035519727486712505
0,0.0,0.0,0.009183356414338368,1.9346,34,[[-0.00343857]],0.8315972834420933,0.05788451864962176,9.311820445004296,0.43373129930868487,500.0,0.061323091130891336,40,967.3,0.0034385724812695737
0,0.0,0.0,0.008649398973048127,1.9354,35,[[-0.00332587]],0.8634526556232629,0.05455864987076039,7.804485889538143,0.4282835976312892,500.0,0.05788451864962176,40,967.7,0.003325868778861374
0,0.0,0.0,0.008134853232123972,1.9363,36,[[-0.00314014]],0.8835862442974189,0.05141850534997775,8.85875273387851,0.4392519891816086,500.0,0.05455864987076039,40,968.15,0.0031401445207826367
0,0.0,0.0,0.007649070119699746,1.9405,37,[[-0.00297746]],0.8866179843631556,0.04844104117611651,10.081542540702786,0.4245700766657961,500.0,0.05141850534997775,40,970.25,0.002977464173861244
0,0.0,0.0,0.007174588232508893,1.9449,38,[[-0.00288618]],0.9216677371964437,0.04555485825004999,6.906337669126815,0.4019502332378973,500.0,0.04844104117611651,40,972.45,0.002886182926066516
0,0.0,0.0,0.006747255200370871,1.9461,39,[[-0.00284862]],0.883427344575324,0.042706237531301566,8.932944643285326,0.3785429830283478,500.0,0.04555485825004999,40,973.05,0.002848620718748425
0,0.0,0.0,0.00632457180606149,1.952,40,[[-0.00265316]],0.9302702246495329,0.04005307822875555,6.4031242374328485,0.36782604584232476,500.0,0.042706237531301566,40,976.0,0.002653159302546018
0,0.0,0.0,0.005937109963215396,1.9525,41,[[-0.00253448]],0.9087101263776987,0.03751859611239009,5.480647771933533,0.36213775003443094,500.0,0.04005307822875555,40,976.25,0.0025344821163654566
0,0.0,0.0,0.005553915162388726,1.956,42,[[-0.00244454]],0.9586396036452953,0.03507406026057518,6.723094525588644,0.3293387313997551,500.0,0.03751859611239009,40,978.0,0.002444535851814915
0,0.0,0.0,0.005195610249778474,1.9574,43,[[-0.0023146]],0.9578466931199188,0.03275946521995513,6.921704992268884,0.35578819541969064,500.0,0.03507406026057518,40,978.7,0.0023145950406200447
0,0.0,0.0,0.0048600913520897735,1.9628,44,[[-0.00212709]],0.9584866604558471,0.03063237602626675,5.902541825349482,0.3240619693824007,500.0,0.03275946521995513,40,981.4,0.0021270891936883835
0,0.0,0.0,0.004527543062384426,1.9634,45,[[-0.00199103]],1.0173132716082876,0.0286413417636287,7.1070387644925646,0.2964126178150991,500.0,0.03063237602626675,40,981.7,0.0019910342626380494
0,0.0,0.0,0.004220008646923131,1.9653,46,[[-0.00182208]],1.0093018622587948,0.026819259202054926,4.803904661834995,0.31399985668786534,500.0,0.0286413417636287,40,982.65,0.0018220825615737728
0,0.0,0.0,0.00393087177174779,1.9668,47,[[-0.00173284]],1.0180895855015137,0.025086423959080627,5.44426303552648,0.26925408074902035,500.0,0.026819259202054926,40,983.4,0.001732835242974299
