OmegaBefore,ReturnsMean,TimestepsStd,Omega,DeltaOmega,RewardStd,Traj,ReturnsStd,NormDeltaOmega,Wins,TimestepsMean,NormDeltaVar,RewardMean,ITERATIONS,ConfortViolation
5.584893276487238,1500.2829322978273,32.809517887344825,5.4678236290893505,-0.11706964739788717,0.41175936497385235,250,280.5310639508835,0.11706964739788717,58.8,179.244,0.2819305950302199,8.370059429034317,23,0
5.4678236290893505,1499.6346844809339,34.18593605563551,5.349562261675027,-0.11826136741432336,0.4173282878731254,250,294.6360609298336,0.11826136741432336,58.8,177.924,0.25151332018210987,8.428512648551816,24,0
5.349562261675027,1444.7171411603836,38.52293571367582,5.231103499957088,-0.1184587617179389,0.4659740088867372,250,333.20728733705715,0.1184587617179389,51.2,170.368,0.2387989609939004,8.479979463046956,25,0
5.231103499957088,1471.1976320197032,36.48024758687912,5.111969534330524,-0.1191339656265642,0.4881236275159832,250,317.81348955922914,0.1191339656265642,46.400000000000006,172.244,0.23473480404900118,8.541357794870668,26,0
5.111969534330524,1496.64826478657,37.91260455310344,4.992066541257779,-0.11990299307274466,0.4722964808553417,250,332.5933782629634,0.11990299307274466,50.0,173.804,0.23350177331588512,8.611126698963028,27,0
4.992066541257779,1509.6910214580923,37.55504631870396,4.872280566522694,-0.11978597473508579,0.45709381014553113,250,331.6234784040571,0.11978597473508579,54.0,174.136,0.23160591197493657,8.669608934729707,28,0
4.872280566522694,1601.8819968896753,30.623755484917258,4.753580656745453,-0.11869990977724054,0.3865392524178469,250,273.6692684669114,0.11869990977724054,66.4,183.36,0.23525130160991278,8.73626743504404,29,0
4.753580656745453,1637.9897651834935,29.612436576546685,4.637009639501524,-0.11657101724392938,0.34911523506546926,250,266.3135100693952,0.11657101724392938,72.8,186.14,0.22945338561845668,8.799773101877584,30,0
4.637009639501524,1699.929296351507,24.058854835590157,4.5210227630299045,-0.1159868764716192,0.28523313035567815,250,218.30176493413086,0.1159868764716192,82.0,191.748,0.22237343207563834,8.865434301017519,31,0
4.5210227630299045,1744.1240297054892,17.953306547820098,4.405429462197487,-0.11559330083241726,0.24331454766204846,250,164.5979803899491,0.11559330083241726,87.2,195.472,0.20571464275960286,8.922628456789154,32,0
4.405429462197487,1769.3562817027844,15.012242470730348,4.291380027161634,-0.11404943503585319,0.20934330276744337,250,138.67817140519284,0.11404943503585319,90.8,197.024,0.18834811807166554,8.980409907944129,33,0
4.291380027161634,1785.7603702021972,15.873802821000393,4.180619843640516,-0.11076018352111827,0.18250639873472943,250,146.69892674738227,0.11076018352111827,93.2,197.628,0.17163920280151573,9.035968436669892,34,0
4.180619843640516,1795.3984444436849,16.243841910090115,4.0731151675414985,-0.10750467609901726,0.19119656773074523,250,150.51659600797134,0.10750467609901726,92.4,197.64,0.16160438685850914,9.08418561244528,35,0
4.0731151675414985,1816.7177747247902,10.36935562125246,3.967128121046367,-0.10598704649513158,0.17127298265039653,250,97.78100190405847,0.10598704649513158,94.0,198.908,0.1473823940321685,9.133457551857093,36,0
3.967128121046367,1816.1116226667575,14.392901027937349,3.8637999434741674,-0.10332817757219948,0.18225110760179572,250,135.30855101808316,0.10332817757219948,93.2,197.98,0.13352672370775506,9.17320750917647,37,0
