Traj,ReturnsMean,NormDeltaVar,RewardStd,Wins,NormDeltaOmega,RewardMean,ConfortViolation,ITERATIONS,ReturnsStd,OmegaBefore,TimestepsStd,TimestepsMean,DeltaOmega,Omega
250,1837.499444483763,0.1316915063461772,0.12547608890232895,97.2,0.12506789651922734,9.205724557041759,0,37,85.07540889159213,3.9070470659753163,8.946014978748918,199.604,-0.12506789651922734,3.781979169456089
250,1844.784819637089,0.11635437437973772,0.13399766323137596,96.8,0.12337447917125832,9.24982360427742,0,38,105.48310622052814,3.781979169456089,11.170962357827548,199.44,-0.12337447917125832,3.6586046902848306
250,1838.3072749839755,0.11071071258564325,0.18825564869862316,92.80000000000001,0.12131551259152218,9.294143721606412,0,39,142.9607813042334,3.6586046902848306,15.031857370265326,197.792,-0.12131551259152218,3.5372891776933084
250,1856.6478363303463,0.10756236441957531,0.16919323091879587,94.39999999999999,0.11854512316560362,9.338899019809796,0,40,104.58374824795693,3.5372891776933084,10.831580494092263,198.808,-0.11854512316560362,3.418744054527705
250,1857.3675126637452,0.10548749687276007,0.22109037340098575,90.0,0.11680952673464429,9.376287344586077,0,41,111.28942134237133,3.418744054527705,11.418736182257648,198.092,-0.11680952673464429,3.3019345277930605
250,1871.8102310336926,0.09954515044070172,0.199148652283534,92.0,0.11521803635420813,9.418197435060645,0,42,106.42031669198387,3.3019345277930605,10.911941348815983,198.744,-0.11521803635420813,3.1867164914388524
250,1876.9793885695162,0.10100651697489287,0.19051219827452578,92.80000000000001,0.11263010570025589,9.456577802591221,0,43,113.42830924861725,3.1867164914388524,11.604212338629452,198.484,-0.11263010570025589,3.0740863857385965
250,1871.2738950524824,0.11251772751998168,0.23118969402767342,89.2,0.11114755625020267,9.488641132651574,0,44,140.5686787667793,3.0740863857385965,14.360468516033869,197.212,-0.11114755625020267,2.962938829488394
250,1879.348178466042,0.1186167697976081,0.2192134529390224,90.4,0.10635898325639515,9.522051084603595,0,45,142.57319880846472,2.962938829488394,14.548696711389653,197.368,-0.10635898325639515,2.8565798462319987
250,1880.696501226068,0.10083923432819894,0.2212686285462222,90.4,0.10113667290197181,9.548427637670173,0,46,152.28239862339208,2.8565798462319987,15.49202065580859,196.964,-0.10113667290197181,2.755443173330027
250,1885.3967318135096,0.08973398450143152,0.23677036344003669,88.8,0.09480771577550007,9.579099763308893,0,47,166.00687435697935,2.755443173330027,16.898314235449643,196.824,-0.09480771577550007,2.660635457554527
250,1887.9412307446705,0.09137746208551047,0.22873341833815983,89.60000000000001,0.09044166123895492,9.607256710758989,0,48,169.62232563484943,2.660635457554527,17.21005101677505,196.512,-0.09044166123895492,2.570193796315572
250,1859.656863400715,0.09220802898209858,0.2663122092692128,86.0,0.084618139544963,9.62515456606722,0,49,223.62973033924175,2.570193796315572,22.657730159925553,193.208,-0.084618139544963,2.485575656770609
250,1847.4599475071013,0.0844939246263942,0.32755670824499633,78.8,0.07956100018956169,9.641470166933354,0,50,229.0229467074092,2.485575656770609,23.115634189872445,191.616,-0.07956100018956169,2.406014656581047
250,1823.3836047566308,0.08610579915570754,0.35936471853788143,74.8,0.07526501827443255,9.655910974372633,0,51,266.5335960972955,2.406014656581047,26.929855253974168,188.836,-0.07526501827443255,2.3307496383066146
250,1845.3143646130698,0.10229409077781473,0.3495503430943926,76.0,0.07090979418316179,9.677342433623533,0,52,237.85995048549623,2.3307496383066146,23.961639009049446,190.684,-0.07090979418316179,2.259839844123453
250,1844.1964950575025,0.11096317946594046,0.3362366553919943,78.0,0.06432875812584671,9.694256055938425,0,53,262.39182321535316,2.259839844123453,26.4397485615881,190.236,-0.06432875812584671,2.195511085997606
250,1836.6415556747447,0.11453536785032012,0.349769612642377,76.4,0.059448394342865196,9.706176572077247,0,54,274.26406774084495,2.195511085997606,27.58865389974654,189.224,-0.059448394342865196,2.136062691654741
250,1829.3498545636862,0.11286011274419701,0.3757320271605389,72.8,0.055574641143534276,9.717971646180947,0,55,264.9560598234374,2.136062691654741,26.552447420153193,188.244,-0.055574641143534276,2.0804880505112067
250,1842.0877445155113,0.11819997513089636,0.3348057298756451,78.4,0.052480613784191554,9.737634240350111,0,56,268.520320196129,2.0804880505112067,26.923417613668587,189.172,-0.052480613784191554,2.028007436727015
250,1871.7880818241936,0.11861566540708086,0.3303023517768883,78.8,0.04569021102827753,9.748083919174409,0,57,219.21703141615524,2.028007436727015,21.87052226171108,192.016,-0.04569021102827753,1.9823172256987376
250,1880.3109327671243,0.13249607698117943,0.2874650976012863,84.0,0.04113233076865486,9.765008271708618,0,58,226.66545292031452,1.9823172256987376,22.619258696959985,192.556,-0.04113233076865486,1.9411848949300827
250,1896.2290083844182,0.13069683480339245,0.2900628942076861,83.6,0.03611443581096929,9.770951462293723,0,59,204.1245477395224,1.9411848949300827,20.35876656381717,194.068,-0.03611443581096929,1.9050704591191134
250,1891.3123059757213,0.13945887170404522,0.3066801789110453,81.6,0.033553650957188985,9.78069371975116,0,60,205.82186116034785,1.9050704591191134,20.477929973510506,193.372,-0.033553650957188985,1.8715168081619245
250,1900.2172730371715,0.1375802057052227,0.28298123033552264,84.39999999999999,0.03086879700778855,9.787266023719413,0,61,217.2402401596284,1.8715168081619245,21.67931954651714,194.152,-0.03086879700778855,1.840648011154136
250,1878.3356999426112,0.14148218669144985,0.3206201605629007,80.0,0.028072596767881874,9.792178604642954,0,62,246.76520738763205,1.840648011154136,24.649616629878853,191.82,-0.028072596767881874,1.812575414386254
250,1890.4078505327893,0.1445635777527399,0.31988259420858395,80.0,0.0287542892865551,9.798311584044063,0,63,225.61221526033472,1.812575414386254,22.46880895819803,192.932,-0.0287542892865551,1.783821125099699
250,1857.0582303984725,0.13620238284666245,0.3470175188559538,76.8,0.029068311363859234,9.802055518951484,0,64,293.01931845232656,1.783821125099699,29.317845487006714,189.456,-0.029068311363859234,1.7547528137358397
250,1898.8504441408636,0.1307708531474414,0.3159740046451247,80.4,0.029085810408048696,9.812369231179146,0,65,221.93783435587898,1.7547528137358397,22.12531907114562,193.516,-0.029085810408048696,1.725667003327791
250,1861.5086016215448,0.12566154508216726,0.3555530558782443,75.6,0.029071791111991985,9.813114676226936,0,66,284.012339501472,1.725667003327791,28.399499713903413,189.696,-0.029071791111991985,1.696595212215799
250,1904.2633192364256,0.12658722516621781,0.3311571608339258,78.4,0.03082909863602379,9.822068328397663,0,67,201.56833124088556,1.696595212215799,20.030891742506125,193.876,-0.03082909863602379,1.6657661135797752
250,1888.1002281269575,0.11852618732070974,0.34182766882422455,77.2,0.03136388161492265,9.826280929944405,0,68,236.00711782316765,1.6657661135797752,23.48885046144234,192.148,-0.03136388161492265,1.6344022319648526
250,1897.240079839962,0.1221307742034588,0.367005736541881,73.6,0.03314742719295638,9.829037217340652,0,69,207.88643717138015,1.6344022319648526,20.622110076323423,193.024,-0.03314742719295638,1.6012548047718962
250,1910.160207821427,0.12055001858008854,0.3402920798832897,77.2,0.034911856063946756,9.83868084050017,0,70,174.309915014923,1.6012548047718962,17.22434602532125,194.148,-0.034911856063946756,1.5663429487079494
250,1857.7962820693633,0.11412938006597174,0.40328082761273554,68.8,0.03564058480655241,9.835646651221719,0,71,255.81510668719187,1.5663429487079494,25.3851638560794,188.884,-0.03564058480655241,1.530702363901397
250,1869.3668967160297,0.11302842974823699,0.39989143384745457,69.19999999999999,0.035191896712622794,9.841466594626052,0,72,272.36131744697144,1.530702363901397,27.11075978278735,189.948,-0.035191896712622794,1.4955104671887742
250,1903.5226363517634,0.1108833318189336,0.3834378582994327,71.2,0.03519877075908484,9.850358284613044,0,73,208.30251039648917,1.4955104671887742,20.657987898147294,193.244,-0.03519877075908484,1.4603116964296894
250,1849.5787209677612,0.11177788753239734,0.4129550849528671,67.60000000000001,0.034760798065679444,9.849291333672873,0,74,300.11039401998994,1.4603116964296894,29.875994644530248,187.788,-0.034760798065679444,1.42555089836401
250,1862.0203490228484,0.11436947242576136,0.40663368436651665,68.4,0.03310901969954738,9.856757517007477,0,75,272.35358623248226,1.42555089836401,27.045360711219956,188.908,-0.03310901969954738,1.3924418786644626
250,1845.5591392273475,0.1213598204290474,0.39601731282256536,70.39999999999999,0.03241696445428488,9.861706168658078,0,76,308.5816984205832,1.3924418786644626,30.670560216598588,187.144,-0.03241696445428488,1.3600249142101777
250,1798.0254144004227,0.12371572158968094,0.4515274883141075,62.4,0.02883399361052641,9.858244042373528,0,77,355.5757664313646,1.3600249142101777,35.403805671142194,182.388,-0.02883399361052641,1.3311909205996513
250,1859.7784253784089,0.14023161251060973,0.3840369953315294,72.0,0.02662545873722677,9.872483413198902,0,78,285.8494895260449,1.3311909205996513,28.370611554917176,188.38,-0.02662545873722677,1.3045654618624245
250,1839.1881107822762,0.14696279969690007,0.4178794490876093,67.2,0.02598084308970927,9.871549394468829,0,79,311.2962490713773,1.3045654618624245,30.896321075493763,186.312,-0.02598084308970927,1.2785846187727152
250,1788.7066883545401,0.15413053073060354,0.4580021700977434,61.6,0.0279690232337515,9.870578140752142,0,80,372.4949104998508,1.2785846187727152,37.073782434491356,181.216,-0.0279690232337515,1.2506155955389637
250,1767.619560358938,0.15649537306466202,0.47696913937730456,58.8,0.02977671774974877,9.873866385649304,0,81,396.4831791766182,1.2506155955389637,39.492525875157696,179.02,-0.02977671774974877,1.220838877789215
250,1767.2380759396688,0.15702879897154556,0.47736201752297996,58.8,0.030356761555568212,9.875707333636973,0,82,393.6814847134272,1.220838877789215,39.16745199780042,178.948,-0.030356761555568212,1.1904821162336467
250,1748.3500633054175,0.1598103914680959,0.5025893746659371,54.800000000000004,0.03256423549545007,9.877014345385724,0,83,389.71375030935627,1.1904821162336467,38.730812746442595,177.012,-0.03256423549545007,1.1579178807381967
