RewardMean,Omega,ITERATIONS,ReturnsMean,TimestepsMean,ReturnsStd,Wins,RewardStd,TimestepsStd,OmegaBefore,ConfortViolation,Theta,DeltaOmega,NormDeltaOmega,NormDeltaVar,Traj
2.7708,0.9689686486234761,73,1385.4,500.0,76.42538845174423,0.0,2.8420181843190235,0.0,0.9688226296791063,0,0.04471851257594534,0.0001460189443698301,0.0001460189443698301,0.03130642044837373,20
2.7686,0.9693420727877639,74,1384.3,500.0,77.5661653042098,0.0,2.8290023047003694,0.0,0.9689686486234761,0,0.044961409709001844,0.00037342416428776115,0.00037342416428776115,0.08101846136291613,20
2.7996,0.9692920367110135,75,1399.8,500.0,62.77865879421127,0.0,2.858782929849694,0.0,0.9693420727877639,0,0.0450580259713721,-5.003607675035937e-05,5.003607675035937e-05,0.03211050303840324,20
2.837,0.9699287725735248,76,1418.5,500.0,78.91989609724534,0.0,2.8896766255067368,0.0,0.9692920367110135,0,0.04524168646179712,0.0006367358625113395,0.0006367358625113395,0.060859262062635366,20
2.8306,0.9706994952360576,77,1415.3,500.0,76.65839810483911,0.0,2.874317943443279,0.0,0.9699287725735248,0,0.045432839883999245,0.0007707226625327523,0.0007707226625327523,0.06309273887421796,20
2.7944,0.9714801027197789,78,1397.2,500.0,71.10668041752477,0.0,2.853932136544245,0.0,0.9706994952360576,0,0.04589830066346277,0.0007806074837213295,0.0007806074837213295,0.1525805455739686,20
2.8212,0.9724331684128277,79,1410.6,500.0,69.94311974740617,0.0,2.875000966956359,0.0,0.9714801027197789,0,0.04608896554361958,0.0009530656930487602,0.0009530656930487602,0.062076077774385396,20
2.799,0.973612447832108,80,1399.5,500.0,50.86796634425245,0.0,2.8725596599548635,0.0,0.9724331684128277,0,0.04633223913259213,0.0011792794192803102,0.0011792794192803102,0.07885037427251973,20
2.8336,0.9746019121904226,81,1416.8,500.0,76.8853692193775,0.0,2.871848018262805,0.0,0.973612447832108,0,0.04669094965599188,0.0009894643583145957,0.0009894643583145957,0.11555040894273105,20
2.7862,0.9753861439146265,82,1393.1,500.0,60.960561021040476,0.0,2.8368802512619387,0.0,0.9746019121904226,0,0.04705341430766082,0.0007842317242039432,0.0007842317242039432,0.11590531896501943,20
2.8214,0.9760789169636277,83,1410.7,500.0,61.43378549300051,0.0,2.873482563023482,0.0,0.9753861439146265,0,0.04762093103983139,0.0006927730490011719,0.0006927730490011719,0.179781107762075,20
2.8416,0.976932377229107,84,1420.8,500.0,106.24575285629068,0.0,2.8914545543722454,0.0,0.9760789169636277,0,0.04845808515490678,0.0008534602654792778,0.0008534602654792778,0.26151726402639497,20
2.8492,0.9775035351005952,85,1424.6,500.0,87.26305059989595,0.0,2.8804963738911393,0.0,0.976932377229107,0,0.04952717803833472,0.0005711578714882037,0.0005711578714882037,0.3278076928177711,20
2.775,0.977861679592151,86,1387.5,500.0,75.73341402577861,0.0,2.843901369597757,0.0,0.9775035351005952,0,0.0498525051410383,0.00035814449155580075,0.00035814449155580075,0.09842166234111716,20
2.8028,0.977941194396417,87,1401.4,500.0,88.13421583017573,0.0,2.8668296356777114,0.0,0.977861679592151,0,0.04966894658188823,7.95148042660454e-05,7.95148042660454e-05,0.055457129323848164,20
2.8516,0.9778973272668638,88,1425.8,500.0,102.63703035454601,0.0,2.879232092068995,0.0,0.977941194396417,0,0.04928142226931957,-4.386712955317673e-05,4.386712955317673e-05,0.11772051246227733,20
2.8044,0.9780940506604971,89,1402.2,500.0,95.10184015044082,0.0,2.859954656983219,0.0,0.9778973272668638,0,0.04903799657851987,0.00019672339363330238,0.00019672339363330238,0.07439647039942088,20
2.8156,0.9784030915352927,90,1407.8,500.0,79.29665818935877,0.0,2.8765946255946457,0.0,0.9780940506604971,0,0.04891219181538929,0.000309040874795552,0.000309040874795552,0.03858620799279322,20
2.8424,0.978848880923559,91,1421.2,500.0,97.37432926598261,0.0,2.8798545518827856,0.0,0.9784030915352927,0,0.04897137350928254,0.00044578938826633774,0.00044578938826633774,0.018163624507117504,20
2.835,0.9790298619949575,92,1417.5,500.0,66.62394464454952,0.0,2.8784674741952534,0.0,0.978848880923559,0,0.048891707119189956,0.00018098107139841169,0.00018098107139841169,0.024455498688759292,20
