ITERATIONS,ReturnsStd,NormDeltaOmega,ConfortViolation,DeltaOmega,Traj,ReturnsMean,NormDeltaVar,RewardMean,RewardStd,TimestepsStd,TimestepsMean,OmegaBefore,Wins,Omega
438,10.414167207789612,0.007646003311595706,0,-0.007646003311595706,250,-93.41818342125886,0.006126405250091561,-17.248556761679993,8.21176087195891,0.49289349762397966,5.416,24.915812404710422,0.0,24.908166401398827
439,10.319232874485174,0.0030926140931910595,0,-0.0030926140931910595,250,-93.22445128773523,0.0062122690661996025,-17.225508368022034,8.20430743230052,0.4921950832749145,5.412,24.908166401398827,0.0,24.905073787305636
440,10.306508372466181,0.008231231124174343,0,0.008231231124174343,250,-92.92409753635205,0.0063059588622737086,-17.208166210435568,8.207153457634139,0.4898979485566356,5.4,24.905073787305636,0.0,24.91330501842981
441,10.04936997904749,0.015312135564396812,0,0.015312135564396812,250,-92.08713247928975,0.006386064227546073,-17.193265959538785,8.241515584178767,0.4788152044369518,5.356,24.91330501842981,0.0,24.928617153994207
442,10.367919026369949,0.015863246248951413,0,0.015863246248951413,250,-93.13501728456572,0.0064686170363918785,-17.260010616116702,8.23612017025861,0.48906441293555597,5.396,24.928617153994207,0.0,24.944480400243158
443,10.32079896257284,0.018983299328859005,0,0.018983299328859005,250,-93.14372834387412,0.006549757882409527,-17.287254703762827,8.256690171841472,0.4872945721019269,5.388,24.944480400243158,0.0,24.963463699572017
444,10.548150025757117,0.017739409303455744,0,0.017739409303455744,250,-94.42229809312191,0.006659175898586373,-17.35704009064741,8.241161149480254,0.4963869458396343,5.44,24.963463699572017,0.0,24.981203108875473
445,10.40565920080769,0.01927702196356762,0,0.01927702196356762,250,-93.81145913895837,0.006759374383562473,-17.372492433140437,8.285656117549546,0.4898979485566356,5.4,24.981203108875473,0.0,25.00048013083904
446,10.424327757640214,0.007732534506057931,0,0.007732534506057931,250,-93.71040886697773,0.006860628281459929,-17.405350829676397,8.31660766267046,0.4863578929142612,5.384,25.00048013083904,0.0,25.0082126653451
447,10.248897292992726,0.018316703945536972,0,0.018316703945536972,250,-93.32581414560794,0.006954454374862478,-17.385583857229495,8.322238166875145,0.4822613399392492,5.368,25.0082126653451,0.0,25.026529369290635
448,10.35616230763083,0.0062688016913412525,0,0.0062688016913412525,250,-93.72849479196849,0.007055899383216652,-17.447597690239853,8.34835143966923,0.48333839077813795,5.372,25.026529369290635,0.0,25.032798170981977
449,10.999374685872995,0.01066317054219823,0,0.01066317054219823,250,-94.40511408499569,0.012542245879887134,-17.46948817264909,8.327905691548091,0.51457166653441,5.404,25.032798170981977,0.0,25.043461341524175
450,10.425324410330203,0.01676356087903841,0,0.01676356087903841,250,-94.40169690720077,0.01058055769798355,-17.494754801186208,8.348068922582323,0.48906441293555597,5.396,25.043461341524175,0.0,25.060224902403213
451,10.228574095936018,0.023126140063098433,0,0.023126140063098433,250,-93.51592599123494,0.008824644941715334,-17.486149213020745,8.38993326047118,0.4763360158543546,5.348,25.060224902403213,0.0,25.08335104246631
452,10.41883051771161,0.0022060835475841145,0,0.0022060835475841145,250,-94.45006040863935,0.007238267334888705,-17.568835641487972,8.402280150856516,0.4843800161030593,5.376,25.08335104246631,0.0,25.085557126013896
453,9.936925240645628,0.0019627099764960576,0,0.0019627099764960576,250,-93.04731049312657,0.005820696755161811,-17.51643646331449,8.439257140063331,0.46330983153824823,5.312,25.085557126013896,0.0,25.087519835990392
454,10.361435977713013,0.005272038691220615,0,-0.005272038691220615,250,-93.93885061721308,0.004524515742840279,-17.55210213326104,8.417087021109849,0.4775939698111776,5.352,25.087519835990392,0.0,25.08224779729917
455,10.35599354306384,0.013714779785498621,0,-0.013714779785498621,250,-94.12847453701492,0.0033625778071480032,-17.548186901009494,8.4038365313436,0.48114862568649197,5.364,25.08224779729917,0.0,25.068533017513673
456,10.305577088907171,0.018417097753584244,0,-0.018417097753584244,250,-93.9962880847652,0.0023270334535789514,-17.523543639963687,8.392058244748927,0.48114862568649197,5.364,25.068533017513673,0.0,25.05011591976009
457,10.341535770858071,0.01759321019622817,0,-0.01759321019622817,250,-93.77540234872846,0.0014096366523035826,-17.48236434540053,8.372181040326794,0.48114862568649197,5.364,25.05011591976009,0.0,25.03252270956386
458,10.310169279829159,0.008204285558683466,0,-0.008204285558683466,250,-93.65024152959296,0.000692501391599862,-17.446021149328047,8.35119407794556,0.4822613399392492,5.368,25.03252270956386,0.0,25.024318424005177
459,10.483820409065245,0.0024482515898434087,0,-0.0024482515898434087,250,-94.41587748164466,0.0006382625508523242,-17.458557226635477,8.31924702449094,0.4914631217090455,5.408,25.024318424005177,0.0,25.021870172415333
460,10.446518769254284,0.0013591131524535172,0,-0.0013591131524535172,250,-94.06192244043882,0.0012024523355981729,-17.444718553493846,8.327735555548708,0.4881966816765555,5.392,25.021870172415333,0.0,25.02051105926288
461,10.45565599603128,0.0005946013907340841,0,0.0005946013907340841,250,-94.03200439698568,0.001807588197168578,-17.43916995493058,8.32539159338633,0.4881966816765555,5.392,25.02051105926288,0.0,25.021105660653614
462,10.553416596491234,0.0047116717571142885,0,-0.0047116717571142885,250,-94.49944403613524,0.0023918048269694434,-17.461094611259284,8.31682475293217,0.4921950832749145,5.412,25.021105660653614,0.0,25.0163939888965
463,10.505566634826696,0.0020197648547153335,0,-0.0020197648547153335,250,-94.07396690134009,0.0029305003515368647,-17.434019069929594,8.318942171598957,0.489064412935556,5.396,25.0163939888965,0.0,25.014374224041784
464,10.197075243847536,0.0016094863361786338,0,0.0016094863361786338,250,-93.13152599556005,0.0034100826321410514,-17.40125672562781,8.345227010730886,0.4775939698111775,5.352,25.014374224041784,0.0,25.015983710377963
465,10.209746099567626,0.0021774679274564335,0,-0.0021774679274564335,250,-93.04016059343388,0.0038673374613018394,-17.39718784469594,8.347141131714682,0.4763360158543546,5.348,25.015983710377963,0.0,25.013806242450507
466,9.880132265262661,0.008410788821098691,0,0.008410788821098691,250,-92.24983834184904,0.0042600773992961995,-17.366309928811944,8.367001291230265,0.46330983153824823,5.312,25.013806242450507,0.0,25.022217031271605
467,10.551190929931773,0.005675612881681502,0,0.005675612881681502,250,-94.61535728314205,0.004662408472621143,-17.469600680048384,8.317428138217009,0.49289349762397966,5.416,25.022217031271605,0.0,25.027892644153287
468,10.31863882521111,0.0026688538523842453,0,0.0026688538523842453,250,-93.80476450350658,0.005022597701825022,-17.44880292103917,8.344937777009532,0.4843800161030593,5.376,25.027892644153287,0.0,25.03056149800567
469,10.358841080288244,0.02077950348737545,0,0.02077950348737545,250,-93.65964396000656,0.005369342737851486,-17.4347810796736,8.34233013475763,0.48333839077813795,5.372,25.03056149800567,0.0,25.051341001493046
470,10.461162755426555,0.029355433245005003,0,0.029355433245005003,250,-94.44272409263108,0.005682287875414784,-17.50235806016143,8.351684918258186,0.489064412935556,5.396,25.051341001493046,0.0,25.08069643473805
471,10.388344527824653,0.022243578558619248,0,0.022243578558619248,250,-94.19093647464182,0.0059863371686716136,-17.546746735216434,8.39925119309655,0.4822613399392492,5.368,25.08069643473805,0.0,25.10294001329667
472,10.267779774115828,0.01627601612269558,0,0.01627601612269558,250,-93.93857260475765,0.006265381824103565,-17.578325711968123,8.438056396929928,0.4750410508577127,5.344,25.10294001329667,0.0,25.119216029419366
473,10.234680557563042,0.009369934555838455,0,0.009369934555838455,250,-94.053988352536,0.0065344183310232645,-17.613106433059173,8.458555474056942,0.4737087712930804,5.34,25.119216029419366,0.0,25.128585963975205
474,10.004639100767573,0.0038629727177266204,0,0.0038629727177266204,250,-93.54506884422983,0.006781813649117087,-17.61014097218182,8.484351136373625,0.4633098315382483,5.312,25.128585963975205,0.0,25.13244893669293
475,10.264379528278392,0.00021695260886289702,0,-0.00021695260886289702,250,-94.08934554622773,0.00701997352993368,-17.632935822006697,8.471597553941644,0.4723388614120163,5.336,25.13244893669293,0.0,25.13223198408407
476,10.51002927473924,0.0009583241704405054,0,0.0009583241704405054,250,-94.91406882639393,0.0072671523721213336,-17.655146731100057,8.443578353772564,0.4843800161030593,5.376,25.13223198408407,0.0,25.13319030825451
477,10.665002609175996,0.01929154494149543,0,-0.01929154494149543,250,-95.52448028443139,0.007521372452497404,-17.689718571190998,8.437152142595371,0.4898979485566356,5.4,25.13319030825451,0.0,25.113898763313014
478,9.988898187797881,0.012334997003080161,0,-0.012334997003080161,250,-93.50297296289185,0.007720943055701201,-17.575746797536063,8.460059841546064,0.46647615158762407,5.32,25.113898763313014,0.0,25.101563766309933
479,10.691299232503301,0.0194824343886566,0,-0.0194824343886566,250,-95.82657388922316,0.007958853645942756,-17.641121850004268,8.38368269617763,0.495354418573207,5.432,25.101563766309933,0.0,25.082081331921277
480,10.518484630875683,0.025445760267206907,0,-0.025445760267206907,250,-94.991365602534,0.00818121137962912,-17.57797290942524,8.379934855047653,0.49069746280167376,5.404,25.082081331921277,0.0,25.05663557165407
481,10.359915068343346,0.014689860269985644,0,-0.014689860269985644,250,-93.99916093662408,0.008376973744951617,-17.497982303913634,8.372323874023571,0.48333839077813795,5.372,25.05663557165407,0.0,25.041945711384084
482,10.313753463522525,0.01865483838633608,0,-0.01865483838633608,250,-93.42286495111644,0.00856961941860947,-17.45569225544029,8.371135756949077,0.4775939698111775,5.352,25.041945711384084,0.0,25.023290872997748
483,10.496907366302196,0.025531067300399002,0,-0.025531067300399002,250,-94.4268138577179,0.008776813110504326,-17.473503674633218,8.330175865347398,0.49069746280167376,5.404,25.023290872997748,0.0,24.99775980569735
