ITERATIONS,Wins,TimestepsMean,NormDeltaOmega,ReturnsMean,ReturnsStd,DeltaOmega,OmegaBefore,NormDeltaVar,RewardMean,TimestepsStd,ConfortViolation,Traj,Omega,RewardStd
49,96.8,199.88,0.0640883207033851,1904.7311923189577,76.15445528990382,-0.0640883207033851,2.971070642857834,0.13273725234400197,9.529373585746237,7.731597506337224,0,250,2.906982322154449,0.1320099161293382
50,97.6,199.912,0.06727976458266305,1909.7480583388715,85.61086734230184,-0.06727976458266305,2.906982322154449,0.12168928906219857,9.552943586872582,8.73523073536126,0,250,2.839702557571786,0.11516483315211806
51,96.8,199.956,0.07037527176801017,1914.1066724347882,70.28607028646373,-0.07037527176801017,2.839702557571786,0.1184840303421432,9.572639342829364,7.057057743847645,0,250,2.769327285803776,0.12969991563508618
52,95.6,199.704,0.07134459213684519,1915.4852951286039,89.06788729566676,-0.07134459213684519,2.769327285803776,0.0841725346469552,9.59162207631597,9.056731419226255,0,250,2.6979826936669307,0.14911267392168887
53,94.39999999999999,198.692,0.07426029062963391,1909.5395449248022,125.18899994810083,-0.07426029062963391,2.6979826936669307,0.0770916632828936,9.610550726374502,12.735349857777761,0,250,2.6237224030372968,0.16759541381080667
54,93.2,198.976,0.0745009615523422,1915.947318094391,91.20310040299162,-0.0745009615523422,2.6237224030372968,0.07773167348104035,9.629037261249552,9.173408526823604,0,250,2.5492214414849546,0.18330643522551998
55,90.0,197.784,0.07603925564084113,1907.1045369462906,130.75757445169722,-0.07603925564084113,2.5492214414849546,0.06591738205157763,9.642360033907146,13.20853299954238,0,250,2.4731821858441134,0.22241250558927103
56,91.2,197.4,0.07503471637937542,1907.7304732292553,154.72919869026967,-0.07503471637937542,2.4731821858441134,0.06920556465895772,9.664288111597038,15.666524822052912,0,250,2.398147469464738,0.2089898733785639
57,88.0,195.784,0.07298390611337302,1894.777690911207,175.60066053114355,-0.07298390611337302,2.398147469464738,0.07153255134947951,9.677898556119022,17.662200995345966,0,250,2.325163563351365,0.24498868950315836
58,86.0,194.744,0.06884433590092343,1887.6221847667625,189.1442559457441,-0.06884433590092343,2.325163563351365,0.07788686257991993,9.692838725541034,18.995959149250666,0,250,2.2563192274504416,0.26497759370094537
59,84.8,194.04,0.066516314243108,1883.6276284676665,217.96777395237126,-0.066516314243108,2.2563192274504416,0.08427436383053474,9.707419235557959,21.94589711084967,0,250,2.1898029132073336,0.2766327037031655
60,84.8,194.424,0.06601426425732004,1890.4135566312293,197.15307531798317,-0.06601426425732004,2.1898029132073336,0.09390781003766076,9.723149182360354,19.752170108623506,0,250,2.1237886489500135,0.27717684224527417
61,90.4,195.1,0.062296655861006744,1900.5928014169479,200.83388684958456,-0.062296655861006744,2.1237886489500135,0.10597737710278161,9.741634041091478,20.137378180885417,0,250,2.0614919930890068,0.22176450611185655
62,86.0,193.884,0.05990474526379064,1890.7144444003588,209.52349847583648,-0.05990474526379064,2.0614919930890068,0.09981434438270537,9.751781706589295,20.939688249828365,0,250,2.001587247825216,0.2675048455443893
63,88.4,195.3,0.05796061108235051,1907.5701305807936,183.35509990556773,-0.05796061108235051,2.001587247825216,0.11447092746035693,9.767384181161258,18.242203814232536,0,250,1.9436266367428656,0.2433868249325735
64,84.8,194.096,0.05398196878706796,1897.3927478769956,206.5336236243221,-0.05398196878706796,1.9436266367428656,0.1217369880313789,9.77553760962099,20.551174759609243,0,250,1.8896446679557977,0.27916986643674463
65,84.8,193.812,0.047882334446848196,1896.555785408564,202.4931372652159,-0.047882334446848196,1.8896446679557977,0.11603123431778783,9.785543647496358,20.10832305290523,0,250,1.8417623335089495,0.27923800564822965
66,81.6,192.5,0.04198906098862709,1885.09995118743,234.29196690287074,-0.04198906098862709,1.8417623335089495,0.10987036826839461,9.79272701915548,23.35966609350399,0,250,1.7997732725203224,0.3076546246776678
67,77.2,189.268,0.03368842954901963,1853.6115988342012,267.3769324962156,-0.03368842954901963,1.7997732725203224,0.10201896842235114,9.793581581853251,26.617816890195932,0,250,1.7660848429713027,0.3453245224729407
68,80.4,191.192,0.02839088391889466,1874.4038744465038,250.25276395978756,-0.02839088391889466,1.7660848429713027,0.102816840687422,9.803777744081884,24.921860604698036,0,250,1.737693959052408,0.31843704541286194
69,81.6,191.996,0.021231362763470596,1883.8419758578511,247.10630417541162,-0.021231362763470596,1.737693959052408,0.12030667327215078,9.811881371788221,24.59894274150822,0,250,1.7164625962889375,0.3084057786988661
70,83.2,192.368,0.021348953425516903,1889.0889388606072,231.8293914953251,-0.021348953425516903,1.7164625962889375,0.13349721425565372,9.82018287272627,23.03007980880657,0,250,1.6951136428634206,0.29397913591094516
71,82.0,192.804,0.01813621173957425,1893.7581275149048,228.27604537459024,-0.01813621173957425,1.6951136428634206,0.13364600699878515,9.822193147003718,22.667809422173992,0,250,1.6769774311238463,0.3041453835556131
72,88.4,195.676,0.021934123541434092,1924.3201701221953,193.5033760398937,-0.021934123541434092,1.6769774311238463,0.14341434493122648,9.834216613801361,19.23171921592035,0,250,1.6550433075824122,0.24290736659969775
73,85.6,195.532,0.026300680646665686,1923.4098536702413,177.19688073898536,-0.026300680646665686,1.6550433075824122,0.1262219958299009,9.836803457593854,17.515506729752353,0,250,1.6287426269357466,0.27021712892980454
