ITERATIONS,ReturnsMean,NormDeltaOmega,TimestepsStd,NormDeltaVar,TimestepsMean,DeltaOmega,Wins,OmegaBefore,Omega,RewardMean,ReturnsStd,Traj,ConfortViolation,RewardStd
533,-75.66204555952017,0.009244893139477739,0.4968541033341679,0.0014340794953640232,5.556,0.009244893139477739,0.0,23.02209648852877,23.03134138166825,-13.618078754413277,8.205703604872339,250,0,6.3842729034429695
534,-76.12020139997051,0.026023443696207238,0.4935585071701227,0.0017674769536823278,5.58,0.026023443696207238,0.0,23.03134138166825,23.057364825364456,-13.641613154116579,8.067321456277353,250,0,6.3787114492352295
535,-75.30094124499723,0.026858700628860532,0.4998559792580259,0.0020583967181563106,5.512,0.026858700628860532,0.0,23.057364825364456,23.084223525993316,-13.661273810775983,8.323804521771324,250,0,6.435334871363062
536,-75.6289124623348,0.031430320727157124,0.49974393443042403,0.00233951021643921,5.516,0.031430320727157124,0.0,23.084223525993316,23.115653846720473,-13.710825319495067,8.356321746718777,250,0,6.4560419910328495
537,-76.20963501218051,0.019395100210964245,0.4992153843783262,0.002602701372323897,5.528,0.019395100210964245,0.0,23.115653846720473,23.135048946931438,-13.786113424779396,8.405554161115955,250,0,6.482709968017876
538,-75.21507029866044,0.017336151487263862,0.5219195340279955,0.028266339092156555,5.46,0.017336151487263862,0.0,23.135048946931438,23.1523850984187,-13.775653900853559,8.758839340174204,250,0,6.5268935919024225
539,-75.34462753720976,0.014949672290327953,0.49806023732074817,0.025121210084920555,5.456,0.014949672290327953,0.0,23.1523850984187,23.16733477070903,-13.809499182039913,8.369197669798893,250,0,6.545872890507181
540,-76.50352964121062,0.019103210749825905,0.499743934430424,0.022288532850229137,5.516,0.019103210749825905,0.0,23.16733477070903,23.186437981458855,-13.869385359175238,8.436306758837958,250,0,6.530787292391709
541,-76.93362476878798,0.0016933261658920173,0.4992153843783262,0.019721648052524306,5.528,0.0016933261658920173,0.0,23.186437981458855,23.188131307624747,-13.917081181039796,8.486386838601256,250,0,6.544276853399616
542,-77.03969215950364,0.015616434344387642,0.49897494927100305,0.017414395704360913,5.532,-0.015616434344387642,0.0,23.188131307624747,23.17251487328036,-13.92619164126964,8.451492724265375,250,0,6.545778677682806
543,-76.59893612980855,0.01407191474284275,0.499743934430424,0.015333082794686587,5.516,-0.01407191474284275,0.0,23.17251487328036,23.158442958537517,-13.886681676905104,8.433045910445045,250,0,6.539058480011677
544,-76.00310220636123,0.031094536723600186,0.49985597925802594,0.013467944074881773,5.488,-0.031094536723600186,0.0,23.158442958537517,23.127348421813917,-13.848961772296141,8.451695835856972,250,0,6.5412997983025205
545,-75.70008197735847,0.029121379506861444,0.49993599590347565,0.011787414632177466,5.492,-0.029121379506861444,0.0,23.127348421813917,23.098227042307055,-13.783700287210209,8.410596715232876,250,0,6.507600465463063
