OmegaBefore,Wins,Traj,DeltaOmega,ReturnsStd,NormDeltaOmega,ConfortViolation,Theta,ITERATIONS,Omega,NormDeltaVar,RewardStd,TimestepsStd,ReturnsMean,TimestepsMean,RewardMean
0.99999972,0.0,20,4.12354428e-09,85.43746250913588,4.1235442838072345e-09,0,0.00164495,547,0.99999972,0.15348431312840205,3.021349076157868,0.0,1516.2,500.0,3.0324
0.99999972,0.0,20,1.02996001e-09,58.637445374095215,1.0299600061713932e-09,0,0.00162888,548,0.99999972,0.14044440277046988,2.995241392609283,0.0,1488.5,500.0,2.977
0.99999972,0.0,20,-9.44550993e-10,73.36286526574598,9.445509929761897e-10,0,0.0016128,549,0.99999972,0.142002446891496,2.9944655015544925,0.0,1490.3,500.0,2.9806
0.99999972,0.0,20,-1.77445203e-09,65.72366392708186,1.774452029756901e-09,0,0.00160559,550,0.99999972,0.06404783392430602,2.9935691072697823,0.0,1494.0,500.0,2.988
0.99999972,0.0,20,8.91222318e-10,92.37505074423504,8.9122231816674e-10,0,0.00160452,551,0.99999972,0.009589311075998808,3.0191122867492024,0.0,1515.5,500.0,3.031
0.99999972,0.0,20,4.72221984e-09,86.77758927280706,4.722219837383079e-09,0,0.00160743,552,0.99999973,0.025920472765946556,2.978682762564688,0.0,1478.5,500.0,2.957
0.99999973,0.0,20,4.24226576e-09,76.49418278535957,4.242265760900921e-09,0,0.00160991,553,0.99999973,0.022121997266893345,3.002101770426845,0.0,1506.8,500.0,3.0136
0.99999973,0.0,20,4.12063605e-09,75.42274192841307,4.120636054594229e-09,0,0.00160026,554,0.99999974,0.08604181323677551,2.976577894159668,0.0,1480.1,500.0,2.9602
0.99999974,0.0,20,3.95158417e-09,75.70574614915303,3.951584170991396e-09,0,0.00159481,555,0.99999974,0.04882933015132096,2.960980486257889,0.0,1469.2,500.0,2.9384
0.99999974,0.0,20,4.27100666e-09,83.13507081851799,4.271006659450904e-09,0,0.00158784,556,0.99999974,0.06267234839147307,3.0143570060628186,0.0,1503.6,500.0,3.0072
0.99999974,0.0,20,4.40308479e-09,73.74794912402649,4.403084785664646e-09,0,0.00157574,557,0.99999975,0.10947220483647868,3.002387290140964,0.0,1495.8,500.0,2.9916
0.99999975,0.0,20,3.46654105e-09,69.02637177195395,3.4665410542089603e-09,0,0.00157227,558,0.99999975,0.031513396198079136,2.993788128775982,0.0,1489.6,500.0,2.9792
0.99999975,0.0,20,4.46496817e-09,109.43724228981651,4.464968172968042e-09,0,0.00157332,559,0.99999976,0.009501216199581108,3.0297127982698293,0.0,1524.7,500.0,3.0494
0.99999976,0.0,20,6.10697626e-09,78.13347554025738,6.106976258024588e-09,0,0.00157017,560,0.99999976,0.028658263508162918,3.005489138226921,0.0,1512.6,500.0,3.0252
0.99999976,0.0,20,6.75772138e-09,93.29222904400987,6.757721382477655e-09,0,0.00157267,561,0.99999977,0.02280765243715166,2.9895780571846586,0.0,1497.6,500.0,2.9952
0.99999977,0.0,20,6.17328266e-09,100.81686366873352,6.1732826628357884e-09,0,0.00157766,562,0.99999978,0.04534988570864584,3.022084869754653,0.0,1527.4,500.0,3.0548
0.99999978,0.0,20,8.49884763e-09,86.8812407830367,8.498847625659778e-09,0,0.00158735,563,0.99999978,0.08761300952608053,2.9877816185256916,0.0,1490.5,500.0,2.981
0.99999978,0.0,20,7.68368713e-09,78.2183482310896,7.683687130999317e-09,0,0.00160285,564,0.99999979,0.13896684429936101,3.0161333591205812,0.0,1518.3,500.0,3.0366
