TimestepsMean,OmegaBefore,TimestepsStd,ConfortViolation,Theta,Wins,NormDeltaVar,Traj,ReturnsMean,RewardStd,Omega,DeltaOmega,RewardMean,ReturnsStd,ITERATIONS,NormDeltaOmega
500.0,[[0.99498033]],0.0,0,[[0.05468846]],0.0,0.32488947685974523,20,1429.6,2.8893209167553544,[[0.99517999]],[[0.00019966]],2.8592,84.30088967502063,126,0.0001996593769408861
500.0,[[0.99517999]],0.0,0,[[0.05408583]],0.0,0.16739780810610227,20,1381.5,2.8293870360910325,[[0.99534919]],[[0.0001692]],2.763,75.53509118284032,127,0.0001692039701205461
500.0,[[0.99534919]],0.0,0,[[0.05340152]],0.0,0.19223139775744613,20,1411.7,2.8788908350265734,[[0.99558069]],[[0.0002315]],2.8234,108.50119815006653,128,0.0002314959901653646
500.0,[[0.99558069]],0.0,0,[[0.05245545]],0.0,0.2696273460633094,20,1415.7,2.8885245437766316,[[0.99577086]],[[0.00019018]],2.8314,81.6217495524324,129,0.00019017652569985888
500.0,[[0.99577086]],0.0,0,[[0.05160197]],0.0,0.24720924134414446,20,1414.3,2.8747559966021465,[[0.99591841]],[[0.00014755]],2.8286,69.00514473573692,130,0.00014754567415575792
500.0,[[0.99591841]],0.0,0,[[0.05062801]],0.0,0.2868765919084453,20,1402.8,2.86227333425723,[[0.99596935]],[[5.09374187e-05]],2.8056,82.33201078559905,131,5.093741874140356e-05
500.0,[[0.99596935]],0.0,0,[[0.04976748]],0.0,0.25784524307606915,20,1401.7,2.8642186438887656,[[0.99602402]],[[5.46711292e-05]],2.8034,75.93227245381242,132,5.467112917012518e-05
500.0,[[0.99602402]],0.0,0,[[0.0490741]],0.0,0.210855042992371,20,1384.0,2.8406647109435497,[[0.99607157]],[[4.75475776e-05]],2.768,76.66811592833099,133,4.754757762803763e-05
500.0,[[0.99607157]],0.0,0,[[0.04836656]],0.0,0.21809249861841806,20,1419.8,2.8899605256819685,[[0.99613534]],[[6.37707746e-05]],2.8396,89.06604291198751,134,6.37707745896332e-05
500.0,[[0.99613534]],0.0,0,[[0.04788062]],0.0,0.1515486537263655,20,1419.8,2.8949390045387835,[[0.99621766]],[[8.232283e-05]],2.8396,71.82172373314359,135,8.23228299616785e-05
