DualAfter,NormDeltaVar,WeightMin,Eta,Omega,RewardMean,NormDeltaOmega,ReturnsStd,ReturnsMean,TimestepsStd,Traj,WeightMean,OmegaBefore,LossReg,Primal,WeightMedian,TimestepsMean,DeltaOmega,ConfortViolation,Epsilon,DualBefore,Wins,ITERATIONS,RewardStd,DualReg,WeightMax
2.631365398594636,0.030709722388693628,0.998536488481646,6827.879747370663,[[2.18010633e-05]],2.63,2.529358727944731e-13,90.95991628839121,1309.3684210526317,0.0,20,0.998536488481646,[[2.18010636e-05]],0.0,2.631365401840092,0.9988290193356503,500.0,[[-2.52935873e-13]],0,1e-07,8.015298542841546,0.0,23,3.0527200985350755,0.0,1.0
2.6671766318640397,0.054941322527623626,0.9985484221038198,6884.053814569997,[[2.18010406e-05]],2.6658,2.2716058655153967e-11,79.57351694086387,1334.9473684210527,0.0,20,0.9985484221038198,[[2.18010633e-05]],0.0,2.667176632227585,0.9988385690188317,500.0,[[-2.27160587e-11]],0,1e-07,8.039739565288551,0.0,24,3.0778418347926846,0.0,1.0
2.5795380389715676,0.41249897320622075,0.9985066861214852,6691.514566806979,[[2.18010391e-05]],2.5782,1.525632447658314e-12,92.35928879732029,1292.842105263158,0.0,20,0.9985066861214852,[[2.18010406e-05]],0.0,2.5795379578390367,0.9988051703916312,500.0,[[-1.52563245e-12]],0,1e-07,7.965334039395098,0.0,25,2.991535518759555,0.0,1.0
2.601538791237255,0.3716758224861163,0.9985075204965637,6695.258274464473,[[2.18010067e-05]],2.6002,3.237674788575287e-11,55.938232655100734,1301.578947368421,0.0,20,0.9985075204965637,[[2.18010391e-05]],0.0,2.601538713516265,0.9988058380911744,500.0,[[-3.23767479e-11]],0,1e-07,7.972967493528066,0.0,26,2.993218996331541,0.0,1.0
2.552918406193456,0.13726374434553357,0.9984845913282345,6593.8787520786445,[[2.18010016e-05]],2.5516,5.098600229215761e-12,62.73772517923183,1272.6315789473683,0.0,20,0.9984845913282345,[[2.18010067e-05]],0.0,2.5529182219629676,0.9987874892340567,500.0,[[-5.09860023e-12]],0,1e-07,7.931907537431565,0.0,27,2.9476325144088094,0.0,1.0
2.535308531639995,0.1687668449696229,0.998473239063209,6544.81262294723,[[2.18009971e-05]],2.534,4.564601033442287e-12,91.06267057526465,1268.1052631578948,0.0,20,0.998473239063209,[[2.18010016e-05]],0.0,2.535308286833648,0.9987784046566707,500.0,[[-4.56460103e-12]],0,1e-07,7.913554813058774,0.0,28,2.9255502046623643,0.0,1.0
2.5411090030359125,0.08766016635377838,0.9984737939190403,6547.193823747542,[[2.18009875e-05]],2.5398,9.548677769836847e-12,71.31064265754928,1270.9473684210527,0.0,20,0.9984737939190403,[[2.18009971e-05]],0.0,2.5411087535353687,0.9987788486769765,500.0,[[-9.54867777e-12]],0,1e-07,7.915971919301196,0.0,29,2.9266048520427215,0.0,1.0
2.523096653119766,0.2830603093466131,0.9984589756352149,6484.188781194313,[[2.18009699e-05]],2.5218,1.7604686659871598e-11,61.22733624453303,1259.0526315789473,0.0,20,0.9984589756352149,[[2.18009875e-05]],0.0,2.523096655352891,0.9987669904104793,500.0,[[-1.76046867e-11]],0,1e-07,7.894045458250723,0.0,30,2.8989868506083294,0.0,1.0
2.529501923916336,0.14487218052485673,0.9984655709095145,6512.080586153595,[[2.18009666e-05]],2.5282,3.2994119250422636e-12,64.43051186142914,1262.842105263158,0.0,20,0.9984655709095145,[[2.18009699e-05]],0.0,2.5295016183981605,0.9987722682540945,500.0,[[-3.29941193e-12]],0,1e-07,7.903035471660356,0.0,31,2.9107739108353985,0.0,1.0
2.5693260331570764,0.47571026814844863,0.9984932452887612,6631.779053723258,[[2.18009719e-05]],2.568,5.280111051620025e-12,83.25444095697341,1285.4736842105262,0.0,20,0.9984932452887612,[[2.18009666e-05]],0.0,2.569325894713681,0.9987944144966717,500.0,[[5.28011105e-12]],0,1e-07,7.946820588837133,0.0,32,2.9646881792188533,0.0,1.0
2.5457207020764905,0.17390697416956336,0.9984872061572552,6605.284765101445,[[2.18009907e-05]],2.5444,1.8768216628994427e-11,72.33072702539468,1275.0526315789473,0.0,20,0.9984872061572552,[[2.18009719e-05]],0.0,2.5457205324812757,0.9987895817313079,500.0,[[1.87682166e-11]],0,1e-07,7.9326887617363315,0.0,33,2.9527662691110517,0.0,1.0
2.5573240323429243,0.04960231058155706,0.9984909839635434,6621.833552041448,[[2.1800994e-05]],2.556,3.308525579426378e-12,66.68502055753603,1276.9473684210527,0.0,20,0.9984909839635434,[[2.18009907e-05]],0.0,2.5573238825322315,0.9987926048904323,500.0,[[3.30852558e-12]],0,1e-07,7.9405627005231,0.0,34,2.96021350581339,0.0,1.0
2.576733908969403,0.1427482582583277,0.998502087600191,6670.956571351352,[[2.1800998e-05]],2.5754,4.0690592612209215e-12,105.37846316309115,1281.8947368421052,0.0,20,0.998502087600191,[[2.1800994e-05]],0.0,2.5767338100857486,0.9988014904731898,500.0,[[4.06905926e-12]],0,1e-07,7.959201563367052,0.0,35,2.9823002598665345,0.0,1.0
2.5717284795745172,0.1861675906804976,0.998496002334255,6643.94523531037,[[2.1800988e-05]],2.5704,1.0054432133599963e-11,76.6950286773707,1287.3684210526317,0.0,20,0.998496002334255,[[2.1800998e-05]],0.0,2.5717283540528357,0.9987966207977297,500.0,[[-1.00544321e-11]],0,1e-07,7.9507062338489165,0.0,36,2.9701588913726487,0.0,1.0
2.5499275757316857,0.36532922789313726,0.9984949853242097,6639.452224872206,[[2.18010216e-05]],2.5486,3.3676037869759257e-11,91.34198016640663,1272.1052631578948,0.0,20,0.9984949853242097,[[2.1800988e-05]],0.0,2.5499274456591667,0.9987958069446565,500.0,[[3.36760379e-11]],0,1e-07,7.942900498388246,0.0,37,2.9681371329505644,0.0,1.0
2.6075451079864935,0.17281219684251514,0.9985144970250502,6726.725434638508,[[2.18010018e-05]],2.6062,1.9891606421642682e-11,87.42445888354318,1301.2631578947369,0.0,20,0.9985144970250502,[[2.18010216e-05]],0.0,2.6075450528757074,0.9988114209775285,500.0,[[-1.98916064e-11]],0,1e-07,7.9827800213216635,0.0,38,3.0073446028016146,0.0,1.0
2.6065435612570056,0.06196845363438541,0.9985127944930324,6719.019046882129,[[2.18009814e-05]],2.6052,2.0367196512362457e-11,87.13653437719852,1295.4736842105262,0.0,20,0.9985127944930324,[[2.18010018e-05]],0.0,2.606543501312682,0.9988100585466623,500.0,[[-2.03671965e-11]],0,1e-07,7.980524543120213,0.0,39,3.003886309433165,0.0,1.0
2.5473185087615944,0.18043003395143842,0.9984847079820326,6594.38676278259,[[2.18009841e-05]],2.546,2.7396678167464304e-12,92.31080824345302,1273.3684210526317,0.0,20,0.9984847079820326,[[2.18009814e-05]],0.0,2.547318324916362,0.9987875825854043,500.0,[[2.73966782e-12]],0,1e-07,7.930320276167356,0.0,40,2.94786091937866,0.0,1.0
2.5661231661092723,0.11826627172417226,0.9984900022951434,6617.525363001221,[[2.18009713e-05]],2.5648,1.2833169555102669e-11,74.3040098014648,1278.421052631579,0.0,20,0.9984900022951434,[[2.18009841e-05]],0.0,2.566123011535121,0.9987918193184037,500.0,[[-1.28331696e-11]],0,1e-07,7.942137433606378,0.0,41,2.958276687532794,0.0,1.0
2.557118023291155,0.09369435643128732,0.9984841535873596,6591.97315000669,[[2.18009604e-05]],2.5558,1.0917598629208965e-11,75.44673966657399,1276.0,0.0,20,0.9984841535873596,[[2.18009713e-05]],0.0,2.5571178364850757,0.9987871389351078,500.0,[[-1.09175986e-11]],0,1e-07,7.932701829034688,0.0,42,2.9467755869763823,0.0,1.0
2.571129825315105,0.3425859324371068,0.9984975146473559,6650.637673784015,[[2.18009682e-05]],2.5698,7.770944894920596e-12,67.50857132406274,1278.5263157894738,0.0,20,0.9984975146473559,[[2.18009604e-05]],0.0,2.571129706776679,0.9987978310122784,500.0,[[7.77094489e-12]],0,1e-07,7.9522545206601,0.0,43,2.9731680006350123,0.0,1.0
2.5329115362978127,0.21165740336012107,0.9984764471375707,6558.604263940872,[[2.1800974e-05]],2.5316,5.820025688327898e-12,64.42965198882935,1269.3684210526317,0.0,20,0.9984764471375707,[[2.18009682e-05]],0.0,2.5329115375738214,0.9987809718997279,500.0,[[5.82002569e-12]],0,1e-07,7.916764522981042,0.0,44,2.9322689917536553,0.0,1.0
2.4996922242133586,0.3378997905694341,0.9984536991200554,6462.045408574001,[[2.18009804e-05]],2.4984,6.43415372996131e-12,56.1260946811296,1249.578947368421,0.0,20,0.9984536991200554,[[2.1800974e-05]],0.0,2.499692227110083,0.9987627678939178,500.0,[[6.43415373e-12]],0,1e-07,7.880806076776678,0.0,45,2.8890824564210695,0.0,1.0
2.4802842875910835,0.018949265365822754,0.998444152123055,6422.362295114758,[[2.18010577e-05]],2.479,7.725266744530853e-11,56.50092539628992,1241.4736842105262,0.0,20,0.998444152123055,[[2.18009804e-05]],0.0,2.480284291272486,0.9987551279248137,500.0,[[7.72526674e-11]],0,1e-07,7.864018581243146,0.0,46,2.871334010525421,0.0,1.0
2.561920527951493,0.2634276078422193,0.9984870071891326,6604.41547052046,[[2.18010537e-05]],2.5606,3.981808159152786e-12,66.1669172761453,1275.7894736842106,0.0,20,0.9984870071891326,[[2.18010577e-05]],0.0,2.561920357024092,0.9987894225086034,500.0,[[-3.98180816e-12]],0,1e-07,7.937431102360103,0.0,47,2.952376608767926,0.0,1.0
