Omega,D_KL_PQ_2,Eta,LossReg,NormDeltaVar,RewardStd,Epsilon,D_KL_P_HAT_Q,TimestepsStd,D_KL_PQ,ReturnsStd,TimestepsMean,ReturnsMean,ITERATIONS,OmegaBefore,DeltaOmega,RewardMean,DualReg,DualAfter,DualBefore
[1.95751876],0.8087348996520944,9.855857691948433,1e-07,1.544651028764312,0.6022420648213973,1.0,0.00999824968000288,31.232073962514878,0.8087348996520376,313.6684475053088,169.334,1674.015238450272,290,[1.96536231],[-0.00784355],9.885877841722701,0.0001,9.952316265376854,10.925234655168605
[1.95057749],0.9382092930472936,6.758681339801617,1e-07,0.020865203204002022,0.6588437994918384,1.0,0.005183247891658169,34.36771484984127,0.938209293047322,344.3224837021557,161.276,1593.2874862357162,291,[1.95751876],[-0.00694127],9.879259692922174,0.0001,9.93744839157905,10.927498305645694
[1.94656257],0.9511096535925319,6.259704299372019,1e-07,0.15364656141548863,0.6601450746421388,1.0,0.002365059561203954,35.17588782106288,0.9511096535924111,352.2245304303942,161.554,1596.0858322804183,292,[1.95057749],[-0.00401492],9.879581021085324,0.0001,9.935728822800952,10.928082607185154
[1.93753412],0.8323270627697639,9.422008145669672,1e-07,0.5482604659058458,0.6318455576911968,1.0,0.002774584440926707,34.49462659603666,0.8323270627695933,345.8597454939705,164.144,1622.339188218068,293,[1.94656257],[-0.00902845],9.883633810666659,0.0001,9.95140937600327,10.927723744579735
[1.93321975],0.9490525471799387,6.356063986343302,1e-07,0.33740221190011876,0.6999687225300225,1.0,0.01759205531036626,37.06185726592773,0.9490525471798179,370.785473252754,153.644,1517.2494164280174,294,[1.93753412],[-0.00431437],9.87509708435095,0.0001,9.937189310422719,10.928962520489748
[1.93441691],1.006474465183072,0.030890556423643818,1e-07,0.3553441653291901,0.6789899428530976,1.0,0.0037933701070843617,35.96462767776138,1.0064744651830742,359.9346890721515,158.666,1567.3592212456151,295,[1.93321975],[0.00119716],9.878355925312386,0.0001,9.129258022109436,10.928364871917953
[1.93005089],0.9165077420629615,7.47289736036955,1e-07,0.28245276472339104,0.723117051554237,1.0,0.0027711700620139707,40.180207814295834,0.9165077420632031,401.5876765777717,147.67,1457.7983605799518,296,[1.93441691],[-0.00436602],9.872000816550091,0.0001,9.941696422715625,10.926894149541964
[1.92423759],0.9113292840467153,7.615234505332977,1e-07,0.1421552790956022,0.6905191306390787,1.0,0.005331698441562899,37.01096723945485,0.9113292840470422,370.33653152228834,155.452,1535.4069070886276,297,[1.93005089],[-0.0058133],9.877048266272725,0.0001,9.9433355960728,10.927380768378713
[1.91978272],0.9176780448321864,7.437586895397404,1e-07,0.32005528141530193,0.6343356567233898,1.0,0.005120029685730028,35.541688198508524,0.9176780448323569,356.3930428315418,162.42,1605.5250539511658,298,[1.92423759],[-0.00445488],9.88502064986557,0.0001,9.94269165469852,10.93017998179978
[1.91345107],0.903839513118669,7.840603587033425,1e-07,0.45312213426274817,0.6317877471318252,1.0,0.010150733967970187,33.362171332213975,0.9038395131190953,334.5962443939577,165.718,1638.2452618624447,299,[1.91978272],[-0.00633165],9.8857412101428,0.0001,9.945076174650694,10.928237506944697
[1.90664605],0.8903124016305526,8.178359474179983,1e-07,0.07658080937230355,0.6134478947155655,1.0,0.0034494051890466646,32.241168961438106,0.8903124016304957,323.5960752056812,168.532,1666.5455897337854,300,[1.91345107],[-0.00680502],9.888600323581194,0.0001,9.947116012678332,10.931018945408358
[1.89975798],0.880055038152463,8.44103655590271,1e-07,0.09439175309594924,0.6029151613808724,1.0,0.0020349236695911582,33.16699148249657,0.8800550381525056,332.99261034497823,168.026,1661.8268620769759,301,[1.90664605],[-0.00688807],9.890295918946922,0.0001,9.949038589748291,10.931240356812044
[1.89331196],0.8742696216064303,8.565941082607853,1e-07,0.368676893175379,0.6228485656320618,1.0,0.0031368457748808054,32.48092831185709,0.8742696216066719,325.9982884119111,167.036,1651.709667806171,302,[1.89975798],[-0.00644602],9.888345433356706,0.0001,9.950138879529451,10.930946513778967
[1.88576048],0.8726498582258557,8.604948026712009,1e-07,0.26830215670137464,0.5943389324585924,1.0,0.014081042718741684,30.04266006864239,0.8726498582256852,301.70222206460346,173.524,1716.5793564391279,303,[1.89331196],[-0.00755148],9.892460734187361,0.0001,9.950895863390572,10.929749152237143
[1.87923965],0.8976115315428217,7.9939521273847065,1e-07,1.0990029264918624,0.5986735651888956,1.0,0.010867909340266766,30.417719243888094,0.8976115315432907,305.8836840758827,169.934,1681.0733387641171,304,[1.88576048],[-0.00652083],9.892507319101046,0.0001,9.948307085286677,10.932961283844676
[1.87138433],0.8494361047238215,9.09259418736102,1e-07,0.9744228690764767,0.5789914235406366,1.0,0.007081989688813676,28.23466089755639,0.8494361047239494,283.8970986260076,175.882,1740.403086611846,305,[1.87923965],[-0.00785532],9.895288242184224,0.0001,9.954562874480168,10.932597257644083
[1.86304998],0.8114733069156301,9.799625323903049,1e-07,1.714492304971972,0.5664097869627374,1.0,0.0042284213994769415,28.21755595369663,0.8114733069166675,284.085557704478,175.256,1734.579917245995,306,[1.87138433],[-0.00833435],9.897406749246787,0.0001,9.959182740446842,10.931885629009876
[1.85600395],0.8304406234938568,9.476768219959188,1e-07,0.028761333439969845,0.541362972360073,1.0,0.004908123045772401,26.903626223986983,0.8304406234938142,271.19298291195616,177.836,1760.7222995780628,307,[1.86304998],[-0.00704603],9.900820416440217,0.0001,9.957820042315516,10.933555947155073
[1.84768055],0.7857634697954268,10.24504443791477,1e-07,0.3002059737862079,0.5267578935671429,1.0,0.0027012358964843704,25.853406042531418,0.7857634697956257,260.7141771262266,180.086,1783.3736080651538,308,[1.85600395],[-0.0083234],9.90289977047163,0.0001,9.962962066564282,10.93410337376747
[1.8401772],0.8132974457717239,9.766617454870506,1e-07,0.47826669216826684,0.5261774203049125,1.0,0.012496704698889739,26.194476593358377,0.813297445771056,264.2973966154369,179.086,1773.5947887125387,309,[1.84768055],[-0.00750335],9.90359262428408,0.0001,9.960662924201625,10.933715965477404
[1.83260463],0.8238334994403402,9.599748203998216,1e-07,0.6655490184245716,0.5562759180808674,1.0,0.003925622932821505,27.556982345677838,0.8238334994411076,277.71401481493564,176.082,1743.3537572274772,310,[1.8401772],[-0.00757256],9.900806199540424,0.0001,9.960310194769256,10.935960183686804
[1.82578398],0.8421923309285404,9.241845683451876,1e-07,0.06681361911537415,0.5545829770229268,1.0,0.011843316787822666,27.926095036721478,0.842192330928313,281.41081011125783,175.904,1741.7295149174176,311,[1.83260463],[-0.00682065],9.901591293645497,0.0001,9.958708979989657,10.935901235497012
[1.81934867],0.848861858816619,9.106018107286756,1e-07,0.3807076387039287,0.5691521673107066,1.0,0.0026550166046007567,27.629875063054484,0.8488618588168748,278.32688277466144,175.502,1737.5434033762979,312,[1.82578398],[-0.00643531],9.900419387678191,0.0001,9.958500462292129,10.9354475775751
[1.81450116],0.8712775869734486,8.637032483167367,1e-07,0.10159177603319934,0.5598359400954483,1.0,0.002385093548181504,27.879232414110685,0.8712775869730365,280.9101350979818,175.78,1740.5701291800724,313,[1.81934867],[-0.00484751],9.901980482307842,0.0001,9.956329115446074,10.935307501912021
[1.80843418],0.8499902634818,9.088945327329498,1e-07,0.29107515588437155,0.5598175003772508,1.0,0.002215103346643452,28.374725091179297,0.8499902634818994,285.8820091315969,175.176,1734.6522826556168,314,[1.81450116],[-0.00606697],9.902339833399646,0.0001,9.959131334493671,10.937198431963697
[1.80141949],0.8236872728030278,9.603816610006085,1e-07,1.32618991324381,0.5531802584520532,1.0,0.00178744486662847,28.671109570436926,0.8236872728029709,288.8468949898837,175.574,1738.791048119097,315,[1.80843418],[-0.0070147],9.903465479621682,0.0001,9.962460616002202,10.937528932965495
[1.79319423],0.7970612712134653,10.047651746795156,1e-07,0.9043441696706299,0.5312342624077254,1.0,0.0028731355959279764,27.609062570105493,0.7970612712134226,278.38542783170476,177.892,1762.2699711889763,316,[1.80141949],[-0.00822526],9.906403723545615,0.0001,9.965764550963831,10.938661060858278
[1.78848006],0.9364739391361638,6.8235879276833655,1e-07,0.4337882149075938,0.5869757207460476,1.0,0.010653632495769567,28.49435445838351,0.9364739391355101,286.96520325431476,173.042,1713.2354331481963,317,[1.79319423],[-0.00471417],9.900691353244854,0.0001,9.949798588650992,10.939831242148838
[1.78169478],0.8582572559010941,8.920370999768181,1e-07,0.1781523410129819,0.5626791504279874,1.0,0.02497272903629044,27.539438193252963,0.8582572559017336,277.3384594272873,177.188,1754.8507807676158,318,[1.78848006],[-0.00678528],9.903891802873876,0.0001,9.960208328461333,10.937906247553833
[1.7750506],0.876176675195552,8.522336680326845,1e-07,0.12065565490813371,0.5725046934997073,1.0,0.0025145173210224026,28.795077079250888,0.8761766751947277,289.91804860971183,174.756,1730.6443747055507,319,[1.78169478],[-0.00664418],9.903204323202356,0.0001,9.958593176996308,10.939461644386052
[1.76965461],0.8334543342602103,9.404557161938953,1e-07,0.15961519164099733,0.5566102669298543,1.0,0.004200825791353492,28.635507748248504,0.8334543342605656,288.6476469146306,174.764,1731.122806745741,320,[1.7750506],[-0.00539599],9.905488583150655,0.0001,9.963630501704683,10.939894602982942
[1.76073202],0.7996134916986222,10.009301708156645,1e-07,0.10851790035128855,0.542939629701401,1.0,0.001836723376497817,28.283451274552757,0.7996134916991338,285.1548523606876,176.372,1747.3949194601096,321,[1.76965461],[-0.00892259],9.907439499807847,0.0001,9.967837631615568,10.93857246473325
[1.75482352],0.8778377680614113,8.489691777166561,1e-07,0.21547651942084867,0.5816537116769388,1.0,0.0057640630928678825,29.84072760507022,0.8778377680615534,300.3739229143641,172.824,1711.5834963956204,322,[1.76073202],[-0.0059085],9.903621582625215,0.0001,9.95984921359735,10.941549725400156
[1.74940662],0.8874167464231988,8.256462484297062,1e-07,0.19280294044595675,0.581244564304597,1.0,0.005680877433935771,29.924559746134946,0.8874167464233977,301.36862454893713,171.918,1702.6951400010455,323,[1.75482352],[-0.0054169],9.904112076693806,0.0001,9.959074184210824,10.94006502153354
[1.74359713],0.8812005184293099,8.403682539135975,1e-07,0.3857390794301775,0.5840741217948323,1.0,0.005107518251394767,30.03186334545361,0.8812005184287557,302.27348910083504,172.572,1709.1814086875147,324,[1.74940662],[-0.0058095],9.904164109400797,0.0001,9.96025485947807,10.941786079320163
[1.740813],1.00347992332014,0.057472170620160926,1e-07,0.2807435866921397,0.6458628334954863,1.0,0.013704779176745266,31.618390281606686,1.003479923320139,317.6569343350515,165.086,1633.8367772011431,325,[1.74359713],[-0.00278413],9.896882698721532,0.0001,9.739241727238719,10.94285801266741
[1.73987215],1.0213964992471454,0.009347323931229912,1e-07,1.5427778588357413,0.6894467963428751,1.0,0.007643370736032594,35.71216957845042,1.0213964992471523,357.9401664943702,156.788,1550.8185023118374,326,[1.740813],[-0.00094085],9.891181100032128,0.0001,5.334470181735087,10.94186642566989
[1.73931183],1.0033173805184101,0.06029302439001691,1e-07,0.3258088509824505,0.8651462893239528,1.0,0.04782660373837351,38.1168147147686,1.0033173805184097,380.3947804198865,121.294,1196.3683559313818,327,[1.73987215],[-0.00056032],9.863376225793376,0.0001,8.870265052093629,10.935309291816957
[1.74000024],1.0178648286247238,0.01119518065241867,1e-07,1.8800148272707058,0.8500714331496912,1.0,0.003988183934787243,37.12341034980488,1.0178648286247292,370.52969531540424,125.398,1237.1853019406437,328,[1.73931183],[0.00068841],9.866068852299426,0.0001,6.254274356395936,10.937225253250418
[1.74193072],1.0072360285341697,0.02763946446051078,1e-07,2.864238019587791,0.9942519591898776,1.0,0.054860916817543244,31.667246422763064,1.0072360285341722,315.4677684768372,96.752,951.9196271278626,329,[1.74000024],[0.00193047],9.838759169090691,0.0001,8.446809680089238,10.932387372826504
[1.7425046],1.016723636055865,0.011959121528964941,1e-07,1.072296626743814,0.7989698731251095,1.0,0.44456576632287487,39.89692218705598,1.016723636055863,398.760640635502,133.46,1317.8434744653334,330,[1.74193072],[0.00057389],9.87444533542135,0.0001,4.870488419772545,10.939348457674296
[1.74372377],1.0104362207547721,0.0191639920478465,1e-07,0.022675589423825995,0.6416104125190191,1.0,0.18208571313384475,32.56113634380717,1.0104362207547748,326.9892365307597,165.38,1636.8411733251453,331,[1.7425046],[0.00121917],9.897455395604942,0.0001,5.2782873489300846,10.942549389758726
[1.74293899],1.005208540375473,0.03839837977867903,1e-07,0.5723344368559706,0.634571535876038,1.0,0.0002322769354605302,31.923713756391187,1.0052085403754765,320.7799122233943,166.15,1644.5988161761388,332,[1.74372377],[-0.00078478],9.898277557485036,0.0001,8.542375212985672,10.941641456005742
[1.74165698],1.0056514153849854,0.03538931168954378,1e-07,0.22920596390671374,0.6267810489494815,1.0,0.010273555173508878,28.654233544103043,1.0056514153849818,287.9201841653369,172.33,1705.9551801686644,333,[1.74293899],[-0.00128201],9.899351129627254,0.0001,8.54242284213705,10.94140642381812
[1.73641445],0.9367923377699441,6.812737654172141,1e-07,0.3698939168375382,0.6027989306184026,1.0,0.0011133700072806835,25.329763994163073,0.9367923377702567,255.20404800519623,176.084,1743.666665994016,334,[1.74165698],[-0.00524253],9.902470786636014,0.0001,9.953423875037439,10.940419951102221
[1.73102383],0.8982681647612054,7.982157607059372,1e-07,0.14033840038329132,0.5969757755984165,1.0,0.004522691389866765,22.836548250556607,0.898268164761518,230.37610038196823,179.008,1772.8047297694795,335,[1.73641445],[-0.00539062],9.903494423542407,0.0001,9.9589938386159,10.940878327075305
[1.72705273],0.9430207667345343,6.589152995722733,1e-07,2.1709147204049963,0.6292170087868219,1.0,0.0017574786351859288,21.585127843031184,0.9430207667349322,217.67833623296823,177.484,1757.0684389235375,336,[1.73102383],[-0.0039711],9.8998695032991,0.0001,9.953165186738596,10.94094051568727
[1.72101648],0.8365870044817285,9.340046745809047,1e-07,0.29853798835231965,0.5949611815551332,1.0,0.0020520068321920027,19.987104942937584,0.8365870044819701,202.2118845537515,180.806,1790.7708932642172,337,[1.72705273],[-0.00603625],9.904377582957519,0.0001,9.966803491080267,10.940392620043989
[1.71410542],0.7698250168600396,10.47857560600577,1e-07,0.26108623020161453,0.5527713914334323,1.0,0.004329618225503151,18.781736980375378,0.7698250168594427,190.48579655314248,184.434,1827.6816550885906,338,[1.72101648],[-0.00691106],9.909678557579356,0.0001,9.973919879965251,10.941704401388746
[1.70722327],0.8122477633773144,9.797861024033017,1e-07,0.17550510485191187,0.5478079800101705,1.0,0.011547692231932132,21.408037649443724,0.8122477633769307,216.3479695646968,183.882,1822.4136157861426,339,[1.71410542],[-0.00688215],9.91077764972179,0.0001,9.970338970678672,10.941517547494726
[1.70067081],0.8403307373761919,9.271956361136592,1e-07,0.5754504904366934,0.527960690351925,1.0,0.003858572547861202,22.26721814686334,0.8403307373757087,225.06272452384437,183.886,1822.9363397016284,340,[1.70722327],[-0.00655246],9.913404716517995,0.0001,9.967720848346927,10.943074171975052
[1.694543],0.843863592814813,9.19865407431951,1e-07,1.6611551322581268,0.5268858109776341,1.0,0.001871760543216874,21.01931264337633,0.8438635928151683,212.5345612690234,185.364,1837.6844759667133,341,[1.70067081],[-0.00612782],9.913923285895391,0.0001,9.967755295634916,10.9421286390731
[1.68838954],0.8373583026595384,9.338652886293037,1e-07,0.24204094454293001,0.5390679999167469,1.0,0.003270007744380935,25.200252062231446,0.8373583026596663,254.3607113255343,180.464,1788.9494424313211,342,[1.694543],[-0.00615346],9.913054362262397,0.0001,9.968963707600535,10.943702732767074
[1.68246692],0.8688753416669215,8.695714654987222,1e-07,0.05027872494946752,0.5049422355537769,1.0,0.007898871167710843,24.974434608214857,0.8688753416662678,252.3807061038561,181.796,1802.8856868468729,343,[1.68838954],[-0.00592262],9.917081161559512,0.0001,9.965818146483427,10.945767250427899
[1.67528767],0.8256360381167553,9.5408793340512,1e-07,0.24745330926270862,0.5110387847860397,1.0,0.0019526948310794792,25.502810747052962,0.8256360381168122,257.5971522246486,181.262,1797.5475563310156,344,[1.68246692],[-0.00717925],9.916847195391286,0.0001,9.971001364180136,10.94559235106551
[1.66951549],0.8155082507273193,9.738975887706802,1e-07,3.582887250415557,0.5267303924252215,1.0,0.010346810265215646,26.412126003031258,0.8155082507276035,266.73471087672795,179.14,1776.2950386344112,345,[1.67528767],[-0.00577218],9.915680689038803,0.0001,9.97249310164756,10.945192249675912
[1.66813498],0.9955121487970295,2.8241265620644764,1e-07,0.2656696234037289,0.6492646310161944,1.0,0.022618314180713365,32.934383249121275,0.9955121487970615,330.7200765728589,164.92,1632.957887834933,346,[1.66951549],[-0.00138051],9.90151520637238,0.0001,9.946606434754823,10.948024945888918
[1.66742116],0.9985905221984694,1.9637366396629705,1e-07,0.7482280322390109,0.6550635943557248,1.0,0.000648026786119878,36.40876877896312,0.9985905221984694,365.43232397253297,160.166,1585.7711060080896,347,[1.66813498],[-0.00071382],9.90079733531517,0.0001,9.945332207430496,10.946884110373237
[1.66579809],0.9885572143692585,3.8705492747463315,1e-07,0.21334800512340082,0.6290557278427109,1.0,0.08106180781613491,29.88147252061049,0.9885572143691732,300.3265814808433,170.76,1691.2505635658104,348,[1.66742116],[-0.00162307],9.904254881505096,0.0001,9.94873952587699,10.945777891991456
[1.66507262],1.0023680072330095,0.08500872124773118,1e-07,0.017619302291308,0.6135998163538636,1.0,0.002064189711365702,31.02719703743798,1.0023680072330219,311.87247391792107,171.138,1695.348324840263,349,[1.66579809],[-0.00072546],9.90632311257735,0.0001,9.87385534698588,10.946276308998316
[1.66029716],0.9077379905782124,7.726363218581568,1e-07,0.21469604836639303,0.5610691522305562,1.0,8.45225139383329e-05,28.458391451380383,0.9077379905784966,286.72564134982736,176.634,1750.9071540741052,350,[1.66507262],[-0.00477547],9.912628112787488,0.0001,9.962536576193507,10.947533652758594
[1.65515357],0.9115171053988007,7.624885444473956,1e-07,0.1919647599179804,0.5710663507879804,1.0,0.002364986045012751,31.037529798616383,0.9115171053987865,312.52177975660715,172.912,1713.8682283345775,351,[1.66029716],[-0.00514359],9.91179460265671,0.0001,9.962437458272284,10.947087733031818
[1.65065193],0.9410693549950082,6.662737051028799,1e-07,0.05900087617806656,0.5773529873240851,1.0,0.0012583838139091812,29.7889439893394,0.9410693549950935,299.9910299644193,173.896,1723.5468765709625,352,[1.65515357],[-0.00450164],9.91136585413674,0.0001,9.958641392234822,10.947148383127306
[1.64527232],0.9204530030165898,7.355036658998993,1e-07,0.037926501996063816,0.5581881586759886,1.0,0.0010406732731805563,29.95875671652614,0.9204530030166467,301.76521569193187,175.336,1738.2603763997852,353,[1.65065193],[-0.00537961],9.913881783545794,0.0001,9.961893567941944,10.947460807219963
[1.63865957],0.899563993698564,7.953901774734765,1e-07,0.0258237907100689,0.5532867516469496,1.0,0.0017705755818410115,30.28648933105321,0.8995639936984219,305.0909888589911,175.258,1737.6489480394127,354,[1.64527232],[-0.00661275],9.914805304405006,0.0001,9.96509376217155,10.949586793998321
[1.63422172],0.8865461793199358,8.2720132033469,1e-07,0.14539802972074556,0.5678976872302187,1.0,0.00194047791734055,30.913076779900123,0.8865461793200353,311.2771170260847,173.678,1721.7619105297638,355,[1.63865957],[-0.00443785],9.913529120152026,0.0001,9.96681078062919,10.947483727930155
[1.62902081],0.9427117611511022,6.586112971499044,1e-07,0.9871506441985441,0.595090120538481,1.0,0.0031074266267782378,30.882282558127077,0.942711761151088,310.9130904646194,170.932,1694.0492478118933,356,[1.63422172],[-0.00520091],9.910661829335018,0.0001,9.95991819198071,10.948967019873244
[1.62456186],0.9356611212239159,6.8443072376168494,1e-07,0.5075942543654617,0.5829172008254127,1.0,0.0019235124178014137,30.00445966852261,0.9356611212241859,302.3134107911272,172.38,1708.7061956432253,357,[1.62902081],[-0.00445895],9.91243877273016,0.0001,9.961021999005332,10.949988690393495
[1.6212258],0.9618456238600714,5.7470922536707025,1e-07,0.41373771860350955,0.6308238723227316,1.0,0.008185373315667918,32.44197349114262,0.961845623860107,326.26497717567565,165.934,1643.887826319536,358,[1.62456186],[-0.00333606],9.906877591810817,0.0001,9.957105953417729,10.950798780276125
[1.62163142],1.008710768602081,0.02296008207108173,1e-07,0.3245686867080898,0.6614070321357786,1.0,0.006019412721617105,35.81617489347516,1.0087107686020742,359.47703961213233,160.796,1592.374901601177,359,[1.6212258],[0.00040562],9.90307533521466,0.0001,8.164434724807654,10.949265585198257
[1.62105077],1.0052496161497895,0.03809864263054436,1e-07,0.7723471502848307,0.7069690509971291,1.0,0.003995625454900461,38.64594545356602,1.0052496161497935,387.29988382921107,152.07,1504.9904273177785,360,[1.62163142],[-0.00058065],9.8966951227578,0.0001,8.336186796416387,10.949649878135036
[1.61957249],1.0054079295009661,0.036982634189840394,1e-07,0.40200997550569123,0.7808409631849477,1.0,0.006098270617100301,41.27504209567811,1.0054079295009668,413.0196124062051,136.13,1345.7261252634673,361,[1.62105077],[-0.00147828],9.885595572346048,0.0001,9.042249116636155,10.946619073086763
[1.61957662],1.0101593491010499,0.019686336095605744,1e-07,2.8469453966489516e-05,0.7279324169018251,1.0,0.008870034495349618,39.823079690049084,1.0101593491010528,398.89245549453744,147.482,1459.1504130216292,362,[1.61957249],[4.13220472e-06],9.893752546220076,0.0001,6.462392650723076,10.94877756611158
[1.61903144],1.0039523513325312,0.050602558442992156,1e-07,0.08720244226144819,0.7100205507169988,1.0,2.7550572755071386e-08,39.30890072235549,1.003952351332531,394.02842559083444,149.982,1484.2812012209388,363,[1.61957662],[-0.00054518],9.896395575608665,0.0001,9.381588826082636,10.948146258162259
[1.61809317],1.0060036487389588,0.03331300637337233,1e-07,0.2674954735920483,0.6895226883876091,1.0,0.0006444428063274174,37.689231300200326,1.0060036487389565,377.9849566036801,154.938,1533.7862999973013,364,[1.61903144],[-0.00093827],9.899355225943934,0.0001,9.374044062035775,10.949973615258395
[1.6180876],1.0077528305800627,0.025797032572258967,1e-07,1.6529640232059067e-05,0.650315558160106,1.0,0.007133653351203783,36.367870435316945,1.0077528305800634,365.0728421812101,161.7,1601.599889324057,365,[1.61809317],[-5.57239678e-06],9.904761220309569,0.0001,8.67015251696074,10.950153016751825
[1.61691162],1.0070317274293012,0.02844243391394415,1e-07,0.4042392287500579,0.6887485929323498,1.0,-1.070735049836869e-07,36.50262456317353,1.0070317274293012,366.1550930667136,156.12,1545.5109501630684,366,[1.6180876],[-0.00117598],9.899506470427033,0.0001,7.206216434225605,10.950696502959644
[1.61775231],1.0040524665832014,0.04935231315114421,1e-07,0.019011771228994744,0.7092612131074281,1.0,0.0030272020232403954,40.398826913661736,1.0040524665832002,404.87029591972174,149.528,1479.8337230147672,367,[1.61691162],[0.00084069],9.896699768703972,0.0001,8.677664456437647,10.949158823817456
[1.61668614],1.0263011424755906,0.007604229760299488,1e-07,0.02187450642891448,0.6787837106860258,1.0,0.00014145743691693216,39.35122153123077,1.0263011424755906,394.5257360052027,156.058,1545.115888909127,368,[1.61775231],[-0.00106617],9.900907924676256,0.0001,2.858935819857816,10.94971643990452
[1.61615987],1.0040610769055203,0.04924788935269582,1e-07,0.014586749372474062,0.6877591145728489,1.0,0.00010428145869715933,39.56321175031167,1.0040610769055158,396.48151307452827,155.326,1537.6891279649712,369,[1.61668614],[-0.00052626],9.89975360187587,0.0001,9.007432489104483,10.950058496189616
[1.61703594],1.0052787122300564,0.03788653131968029,1e-07,0.45908309613360154,0.6910046425549042,1.0,3.1617871263690526e-05,38.4866925572983,1.005278712230056,385.95470782849884,153.864,1523.1510301005892,370,[1.61615987],[0.00087606],9.899333372982564,0.0001,9.26619515267652,10.949803384668522
[1.61670349],1.0053505011887327,0.0373795976967114,1e-07,0.026527400953016075,0.6287590865278773,1.0,0.006891109177033576,34.73484267993739,1.005350501188734,349.01545789853293,165.052,1635.2743906013397,371,[1.61703594],[-0.00033245],9.90763147736071,0.0001,8.066434171119996,10.95104587691713
[1.61714356],1.0057761556036524,0.034625018684718505,1e-07,0.323938268468923,0.6484651543365885,1.0,0.00011739475202079852,34.85651152941155,1.0057761556036517,350.03388907043404,163.098,1615.4917778520835,372,[1.61670349],[0.00044007],9.905037326344184,0.0001,8.119288968593652,10.950053861510916
[1.61785832],1.0048660433040297,0.041063662304200436,1e-07,0.34676418560544237,0.6330778494788292,1.0,0.0017082827204355261,37.12238413679811,1.004866043304034,372.87975563185086,161.814,1603.1009575768467,373,[1.61714356],[0.00071475],9.907059695556915,0.0001,9.149077504183351,10.95145940133499
[1.6161869],1.0103107417974786,0.019397270680091002,1e-07,0.26345962498573305,0.656732394000925,1.0,0.004321884327801573,37.41304670833425,1.0103107417974782,375.5158344907024,159.456,1579.2411360027343,374,[1.61785832],[-0.00167141],9.903930463593309,0.0001,8.239414843101299,10.951130440066615
[1.61270529],0.9654502094510846,5.5821544771358695,1e-07,0.42364943107211495,0.6261425914771768,1.0,0.011505892363624638,34.28343104183127,0.9654502094513049,344.5812050065782,165.434,1639.1138451855654,375,[1.6161869],[-0.00348161],9.907962360733379,0.0001,9.957112341960402,10.950284884119402
[1.60748334],0.9513904063212522,6.245502255823068,1e-07,0.005284950831488437,0.6099943783074656,1.0,0.004468390940266881,32.14320027626372,0.95139040632138,323.4273608426779,168.526,1670.1372362912227,376,[1.61270529],[-0.00522195],9.910264506908268,0.0001,9.95982935243073,10.949647991604262
[1.60799781],1.0048094117691957,0.04158495128979977,1e-07,0.2848728882923776,0.6078096499640853,1.0,0.0014709736459115207,32.29077707333783,1.0048094117691981,324.9867754671422,168.154,1666.5514262265524,377,[1.60748334],[0.00051447],9.91086400696119,0.0001,9.659112836758608,10.951375725489918
[1.60461499],0.9587350478595624,5.907405633231471,1e-07,0.2818083826111351,0.5923643763148618,1.0,0.003617429783445938,32.40523142950841,0.9587350478594203,326.0943675234275,170.324,1688.3671892035413,378,[1.60799781],[-0.00338282],9.912679300647833,0.0001,9.958791503625283,10.950790996201349
[1.60007193],0.9261682022061279,7.178627095343661,1e-07,0.8037107514552857,0.5887568797911116,1.0,0.0028074133002798872,31.261332729108013,0.9261682022065685,314.8715552024779,170.726,1692.4652037774888,379,[1.60461499],[-0.00454306],9.913341868124883,0.0001,9.964044117601189,10.951268650820833
[1.60061334],1.0089659477005573,0.022306808849561485,1e-07,0.37290804495851576,0.6430924410910902,1.0,0.003677166660044137,35.32602275943331,1.0089659477005606,354.90628561022885,162.546,1610.3157236755783,380,[1.60007193],[0.00054141],9.90683082743087,0.0001,8.290577394834497,10.951801091487628
[1.59957701],1.002599703874837,0.0769306107468763,1e-07,0.01683637470045018,0.6606317797757657,1.0,0.0007803762385553392,37.68195769861221,1.0025997038748375,378.2299723773637,158.508,1569.9414547304737,381,[1.60061334],[-0.00103633],9.90449349389604,0.0001,9.826973573468074,10.951246623735235
[1.59989494],1.0036457243303472,0.054857902620127824,1e-07,0.2818255397070208,0.6619866245922881,1.0,3.7465630644638095e-05,38.44907587966192,1.0036457243303447,385.74199336605466,158.758,1572.3976767695551,382,[1.59957701],[0.00031793],9.904368137476881,0.0001,9.879972971220454,10.950883910100643
[1.59442597],0.9646329379697391,5.625573623080119,1e-07,0.502370975315959,0.6131893525268226,1.0,0.009131542533533085,33.61609138493052,0.964632937969796,338.05923479743046,167.32,1658.2615899480154,383,[1.59989494],[-0.00546898],9.910719519172934,0.0001,9.95831964796733,10.95287135706302
[1.58760294],0.9322476287374997,6.97613856645082,1e-07,0.33589937011864357,0.6334759575685764,1.0,0.009699265940338795,33.66763430952641,0.932247628736846,338.32165194429666,166.08,1645.6038830784098,384,[1.59442597],[-0.00682302],9.908501222774625,0.0001,9.963918160057894,10.952788996281368
[1.58700689],1.0285022374249502,0.0070169873596454485,1e-07,1.612300071631202,0.7192351928222567,1.0,0.011836811180372993,36.82523976839798,1.0285022374249566,369.16976311234015,151.154,1495.9931001996604,385,[1.58760294],[-0.00059605],9.897145296847324,0.0001,4.470591154111402,10.95162542008898
