Omega,D_KL_PQ_2,Eta,LossReg,NormDeltaVar,RewardStd,Epsilon,D_KL_P_HAT_Q,TimestepsStd,D_KL_PQ,ReturnsStd,TimestepsMean,ReturnsMean,ITERATIONS,OmegaBefore,DeltaOmega,RewardMean,DualReg,DualAfter,DualBefore
[5.81148924],0.431911601383149,14.166214657349295,1e-07,0.6232697790814307,0.3973877032751447,1.0,0.05392105004168964,22.649538273439482,0.43191160138246687,214.77335251750236,187.196,1740.8926754819252,55,[5.8439033],[-0.03241406],9.29983907499052,0.0001,9.384518497805898,10.32071195600832
[5.77851274],0.4448395053778995,14.056413569861768,1e-07,0.8333868765915193,0.3861013614526873,1.0,0.05276346506706299,21.62340546722463,0.444839505378809,205.40785096512792,188.156,1751.42738637736,56,[5.81148924],[-0.03297651],9.308379144844492,0.0001,9.391240460061892,10.328262292472758
[5.74463112],0.47777665403893366,13.770015299388827,1e-07,0.025636526013247975,0.40490934731799794,1.0,0.05625311211992175,22.267962996197028,0.47777665403904734,211.54993240542305,187.232,1743.9768175757326,57,[5.77851274],[-0.03388161],9.31452325230587,0.0001,9.396657798905084,10.33657129031447
[5.71362453],0.4860308270631606,13.701655434113434,1e-07,0.4765216220170354,0.41753666373406334,1.0,0.056228275167023466,22.634610665969053,0.48603082706324585,215.22551491056325,186.32,1736.7000810519894,58,[5.74463112],[-0.03100659],9.321060976019693,0.0001,9.403183266373729,10.343139907369062
[5.68098212],0.41400192938024816,14.308029014638318,1e-07,0.34758350074175287,0.3759830700989921,1.0,0.04806719683139279,20.187866058600648,0.41400192938024816,192.38368892153622,189.508,1768.4479101170693,59,[5.71362453],[-0.03264241],9.331784991225009,0.0001,9.415753395473969,10.350246323628495
[5.6482621],0.42987703458521764,14.177768412419454,1e-07,0.5622048435340181,0.3560983428422551,1.0,0.05417726768794737,20.824118612800877,0.42987703458484816,198.54502669292265,189.578,1770.8216039157328,60,[5.68098212],[-0.03272002],9.340860247052573,0.0001,9.422094400928831,10.357447859568818
[5.61563141],0.3933152043374264,14.47237508415687,1e-07,0.3301031663171188,0.34971683054668,1.0,0.05256165520522448,19.114661493209866,0.39331520433799483,182.50401336287658,191.154,1787.0288805061914,61,[5.6482621],[-0.03263068],9.34863450676518,0.0001,9.431933352139527,10.364215687088612
[5.58446756],0.4564931411914017,13.953098759362632,1e-07,0.07763080092146354,0.3720767823689333,1.0,0.052517947347480116,20.76061424910159,0.4564931411910891,198.20968927389427,189.336,1771.1016031742029,62,[5.61563141],[-0.03116385],9.35427812552395,0.0001,9.434491738493612,10.372680714300405
[5.5546124],0.45767463243748807,13.948014310166025,1e-07,0.3985642494074388,0.37573939337591894,1.0,0.047123701738476416,20.083467429704463,0.4576746324375165,191.99221750334354,189.656,1775.3580686960393,63,[5.58446756],[-0.02985516],9.360938059940308,0.0001,9.441076287626121,10.378930300893735
[5.52511475],0.5341106138180578,13.261722703464187,1e-07,0.1182144846748942,0.4301434028666466,1.0,0.04586693957395293,21.782162977996467,0.5341106138171483,208.1677810515021,186.624,1747.3758767557704,64,[5.5546124],[-0.02949764],9.363082330009913,0.0001,9.441994814757686,10.386099454988006
