Epsilon,RewardMean,ITERATIONS,D_KL_PQ_2,TimestepsStd,DeltaOmega,DualAfter,Omega,DualBefore,ReturnsMean,Eta,DualReg,ReturnsStd,TimestepsMean,D_KL_PQ,LossReg,D_KL_P_HAT_Q,OmegaBefore,RewardStd
1.0,9.800230868604224,396,0.5668832091947067,25.046339373249737,-0.00597626,9.936186984443184,2.93088163,10.85212472489257,1765.2371845147302,6.006477182530864,0.001,250.27682118697973,180.122,0.5668832091947706,1e-07,0.003953876191145309,2.93685789,0.5151160982998726
1.0,9.801302653755615,397,0.5894039400626028,25.64012480468845,-0.00731078,9.933298547501902,2.92357085,10.852597094905137,1764.234477676011,5.901689358729504,0.001,256.12818605091184,180.0,0.5894039400627591,1e-07,0.0016461422106665202,2.93088163,0.5111645812470808
1.0,9.804897130233565,398,0.5739359665682287,24.730548234925973,-0.00856611,9.936858361616705,2.91500474,10.852216509751981,1792.0606582870494,5.9731541813471845,0.001,247.11193018332318,182.772,0.5739359665682855,1e-07,0.004039414505122405,2.92357085,0.48507899007721167
1.0,9.802365581276854,399,0.6546284430104379,26.07129946895628,-0.00816878,9.923965393177953,2.90683595,10.856018865111068,1756.4662837778367,5.571065927252808,0.001,260.4127646996478,179.188,0.6546284430103455,1e-07,0.005275272494817443,2.91500474,0.5186540117527705
1.0,9.8034721199161,400,0.6734596066784917,26.864348047179554,-0.00600252,9.921151927771515,2.90083343,10.857202981714742,1751.9000747732464,5.4677494022887725,0.001,268.2307669651562,178.702,0.6734596066784064,1e-07,0.003943641383358608,2.90683595,0.5173309534786774
1.0,9.807672936799163,401,0.5284595120686291,24.659835765876462,-0.00709934,9.946856319655922,2.89373409,10.85175470217664,1797.2560656684466,6.179138053466952,0.001,246.39528327280382,183.25,0.5284595120686078,1e-07,0.007849685247007973,2.90083343,0.48348998541379384
1.0,9.812353918465526,402,0.5537381015963376,24.06988192742125,-0.00656831,9.943468491970028,2.88716578,10.85243023335039,1815.0107290064052,6.067589986702211,0.001,240.76803344882472,184.972,0.5537381015965508,1e-07,0.004124456761801948,2.89373409,0.44299919745238836
1.0,9.810824728939751,403,0.5281766931144034,23.84863132341141,-0.00787966,9.948574533163033,2.87928611,10.85453354693048,1809.8224593969742,6.18036941309311,0.001,238.49355155605153,184.472,0.5281766931140766,1e-07,0.0026588230650813754,2.88716578,0.4676839191390546
1.0,9.81256015980649,404,0.5265824515444848,22.96309003596859,-0.00649352,9.94960119999815,2.87279259,10.854695746692936,1818.8954014623698,6.187332318200364,0.001,229.81267759074967,185.364,0.5265824515449111,1e-07,0.003418132898915183,2.87928611,0.4587433271115926
1.0,9.81354023388204,405,0.5800566508073288,23.722552645109676,-0.00549358,9.94136973473146,2.86729901,10.855934878845206,1809.2635316794285,5.945030595268125,0.001,237.4588722290601,184.364,0.5800566508071086,1e-07,0.003236386524829583,2.87279259,0.45659843890618224
1.0,9.810766569654797,406,0.5625586179478432,24.675385224956468,-0.00669974,9.94501139388433,2.86059927,10.858128789279503,1786.1285401382129,6.0264087984778065,0.001,246.8179909468859,182.058,0.5625586179480706,1e-07,0.0017662014631495227,2.86729901,0.4917491151198658
1.0,9.808392604283279,407,0.627506798981905,25.676727517345352,-0.00658755,9.934715559719338,2.85401172,10.861458265998934,1761.6657788701111,5.7136363643829435,0.001,256.62307212489054,179.608,0.6275067989821324,1e-07,0.005833995558618512,2.86059927,0.5214677458043984
1.0,9.808817512251645,408,0.6988667203279775,26.346635382909902,-0.00755056,9.922705304306588,2.84646116,10.863812516045225,1752.8553070743935,5.322496147970346,0.001,263.26604690158547,178.702,0.6988667203277572,1e-07,0.0024254981322567796,2.85401172,0.5248798770477968
1.0,9.801994423996021,409,0.8081014729861593,27.4882956910755,-0.00652605,9.901400965713115,2.83993511,10.872509291427415,1702.0183117826691,4.581437137923646,0.001,274.05788786642717,173.64,0.8081014729864577,1e-07,0.014452662579438178,2.84646116,0.5925432773011928
1.0,9.801199397225302,410,0.8248843109130419,29.100383777538056,-0.00408494,9.898200562678758,2.83585017,10.875435921429185,1677.063626460427,4.444214345190263,0.001,289.874516321377,171.108,0.8248843109129638,1e-07,0.0038091171784704783,2.83993511,0.6044106835831813
1.0,9.802343641133294,411,0.8953562720819974,29.1312815372067,-0.00515893,9.88173960879501,2.83069124,10.874573593345945,1678.2200454238668,3.7477022698386926,0.001,290.29736064134147,171.206,0.8953562720822319,1e-07,0.00289711337245007,2.83585017,0.5986662209213236
1.0,9.802553554949132,412,0.8299431664682615,27.79465063640844,-0.00721224,9.898231654436003,2.82347901,10.87443778072896,1677.0796775020272,4.399591067967287,0.001,277.26274510609926,171.086,0.829943166468226,1e-07,0.004635316566828642,2.83069124,0.6026580092486763
1.0,9.807749570075654,413,0.6751989915406611,27.995969995697596,-0.00680305,9.930450525503085,2.81667596,10.869793300679959,1710.3930630246332,5.457849263085256,0.001,279.46009969582326,174.392,0.6751989915404835,1e-07,0.010403766732837721,2.82347901,0.5656883029926916
1.0,9.814357846580554,414,0.6072575039514945,26.37865887417327,-0.00710606,9.943226968646968,2.8095699,10.865819842846491,1767.232160002374,5.815594643447932,0.001,263.5836287322067,180.066,0.6072575039514518,1e-07,0.005572645931818153,2.81667596,0.5127910401016292
1.0,9.820327695811274,415,0.5228884935078923,23.036761925235933,-0.00718802,9.958162858790109,2.80238188,10.86044933955211,1825.206105543483,6.203517214120443,0.001,230.57102739923263,185.86,0.5228884935080629,1e-07,0.0039923556208982915,2.8095699,0.4607542895895746
1.0,9.821387140220432,416,0.5259609124741615,22.071807447510952,-0.00819275,9.958576601399253,2.79418913,10.861197071114848,1833.122624173583,6.189869365743217,0.001,221.07278077434458,186.646,0.5259609124741189,1e-07,0.0033775606239674636,2.80238188,0.4587007667493902
1.0,9.827226716562244,417,0.48150678579506234,20.221125092338458,-0.00688823,9.966453469971396,2.78730091,10.859854877741226,1862.1611905213795,6.376743524900419,0.001,202.88573741312925,189.49,0.481506785794636,1e-07,0.0047182767093716365,2.79418913,0.40180117098222345
1.0,9.827001200454726,418,0.48932574788006633,20.771720294669866,-0.00734651,9.966010968173661,2.7799544,10.86123064392365,1855.3967886530547,6.344816677076747,0.001,208.3530731776466,188.806,0.48932574788045713,1e-07,0.0030079063152641207,2.78730091,0.41383699305318683
1.0,9.828669452946723,419,0.4897061233683999,20.875395948340717,-0.00721211,9.966734722857217,2.77274228,10.862194175857175,1857.0091491008482,6.342214618307765,0.001,209.40897955581767,188.938,0.4897061233687481,1e-07,0.0026823269526365864,2.7799544,0.40371779559267623
1.0,9.828975613501385,420,0.4765494963892465,20.64245440833042,-0.00657701,9.969464020572964,2.76616527,10.863235129241982,1855.4550424631104,6.398253820884114,0.001,207.17793516525273,188.774,0.47654949638904043,1e-07,0.003449750940790058,2.77274228,0.4102128844630154
1.0,9.82778472279689,421,0.5108987787574364,21.96323573611138,-0.00762843,9.964894639286946,2.75853685,10.865666641657837,1834.5918853433868,6.253893554435938,0.001,220.39411726578913,186.674,0.5108987787576922,1e-07,0.0033307056176625437,2.76616527,0.43214163101513947
1.0,9.823983026810014,422,0.6493892123820828,23.944959803683112,-0.0063267,9.942301197081115,2.75221014,10.869969643599465,1800.048410002399,5.599260458221798,0.001,239.9059792220489,183.23,0.649389212382161,1e-07,0.004245287346357425,2.75853685,0.4821145210611222
1.0,9.82603568183302,423,0.6164195982381955,24.850604741132557,-0.00779539,9.948950862803022,2.74441476,10.870209254902106,1797.7911404195331,5.767722000148531,0.001,248.92980072574147,182.962,0.616419598237762,1e-07,0.0034262402952690294,2.75221014,0.4680691491575667
1.0,9.826655130327492,424,0.5743903432239108,23.613401195084116,-0.00806904,9.957127201385662,2.73634572,10.870545742775,1810.2860614191914,5.970200123926688,0.001,236.62866389974212,184.222,0.5743903432237403,1e-07,0.0034749724346224147,2.74441476,0.4709850431041685
1.0,9.828353529516702,425,0.5947550391955545,23.484597846248082,-0.0049838,9.954103578689406,2.73136193,10.87175286660973,1814.3926883770196,5.874527203871439,0.001,235.4256524979233,184.608,0.5947550391952277,1e-07,0.003316610403884481,2.73634572,0.46154937241593863
1.0,9.828002317031508,426,0.615448099437053,23.410864059235404,-0.00718964,9.95137524947834,2.72417229,10.871542043723824,1812.8929634042659,5.774491612709968,0.001,234.62564835133261,184.462,0.6154480994375433,1e-07,0.002520999026146814,2.73136193,0.47185613588520964
1.0,9.824446813973632,427,0.6975731184060265,24.666886224248085,-0.00788881,9.937462870727135,2.71628349,10.875023627273723,1779.030477967973,5.329442449595747,0.001,247.02569249106685,181.082,0.6975731184061473,1e-07,0.003861465360050155,2.72417229,0.5149959618499358
