ITERATIONS,Theta,Traj,Wins,NormDeltaVar,Omega,TimestepsMean,ConfortViolation,TimestepsStd,RewardStd,DeltaOmega,RewardMean,NormDeltaOmega,ReturnsStd,ReturnsMean,OmegaBefore
123,0.05593727772843889,20,0.0,0.35227414609617824,0.9850661581001658,500.0,0,0.0,2.8706011565524037,-0.00020786185774823718,2.807,0.00020786185774823718,65.0780300869656,1403.5,0.9852740199579141
124,0.05471435416531338,20,0.0,0.3342782398686097,0.9848970975912327,500.0,0,0.0,2.827111876102536,-0.00016906050893317204,2.7562,0.00016906050893317204,67.10730213620572,1378.1,0.9850661581001658
125,0.05347666558364399,20,0.0,0.34555944169481734,0.9847628244589112,500.0,0,0.0,2.8234265635925437,-0.00013427313232150517,2.7662,0.00013427313232150517,58.33858071636642,1383.1,0.9848970975912327
126,0.05242788674364046,20,0.0,0.2987740176449236,0.984729496608029,500.0,0,0.0,2.819468027837875,-3.332785088216994e-05,2.7498,3.332785088216994e-05,69.19674847852319,1374.9,0.9847628244589112
127,0.05133135035269981,20,0.0,0.31847847492852566,0.9847793184400455,500.0,0,0.0,2.8504594366522737,4.982183201651669e-05,2.791,4.982183201651669e-05,75.37871052226882,1395.5,0.984729496608029
128,0.05007682171174961,20,0.0,0.3723565579243413,0.9847224185818344,500.0,0,0.0,2.8673781124923168,-5.689985821111243e-05,2.8174,5.689985821111243e-05,61.74228696768528,1408.7,0.9847793184400455
129,0.048679075220073004,20,0.0,0.4254191332730741,0.9847842908187562,500.0,0,0.0,2.8952683882500425,6.187223692177835e-05,2.8564,6.187223692177835e-05,76.94907406850326,1428.2,0.9847224185818344
130,0.047790769923733524,20,0.0,0.2764295996417161,0.9847620723550778,500.0,0,0.0,2.8410348466711914,-2.2218463678336242e-05,2.789,2.2218463678336242e-05,73.50612219400503,1394.5,0.9847842908187562
131,0.04679519026669159,20,0.0,0.3156728345133928,0.984761231526653,500.0,0,0.0,2.9048311482769527,-8.408284248861975e-07,2.866,8.408284248861975e-07,49.51969305236049,1433.0,0.9847620723550778
132,0.045686576530700726,20,0.0,0.35911805032328914,0.9848270388096935,500.0,0,0.0,2.8195109930624493,6.580728304050876e-05,2.7424,6.580728304050876e-05,63.332140339641136,1371.2,0.984761231526653
